,cluster,distance,polarity,target_group,target_ppto,target_word,source_image_schema_group,source_word,llm_expl,sentence
1128,84,0.481318823812843,right,Anti-Immigration Sentiment,thing,millions,spatial motion,kicked,"The verb 'kicked' is used metaphorically to describe the act of forcibly removing 'millions of immigrants' from the US. Literally, 'kicked' refers to striking someone with the foot, but in this context, it signifies a forceful, abrupt deportation action, transcending its physical meaning to convey the idea of expelling individuals.",'1) Trump summarily kicked millions of immigrants with legal protection out of US  2) Courts stopped that cruel order  3) New Trump Offer: not try to deport them again for 3 years if we give him $5.7 billion  4)'
2655,84,0.5102066606494575,left,Citizens,person,you,spatial motion,kick,"The verb 'kick' is used metaphorically to personify the policy or system (implied as an active agent) that removes individuals from their private health insurance. The action described transcends a physical kick, instead representing a consequence of the policy, akin to 'kicking someone off' a plan in a non-literal, abstract sense.","'Tonight we heard zero ideas how to keep this booming economy growing  We heard the same old failed big government socialism that would kick you off your private health insurance, while giving it to illegal immigrants who step a foot across the border they would decriminalize'"
2144,85,0.37810936259723826,left,Other,thing,caravan,force,fueled,"The verb 'fueled' is used metaphorically to describe how funding provided the necessary resources or motivation for the migrant caravan to move. While 'fueled' literally refers to supplying fuel, here it is applied to a group of people, transcending its physical meaning to signify a causal or enabling relationship, akin to personification or analogical extension.",'Gohmert says DOJ must investigate the funding that fueled migrant ‘caravan’'
2136,85,0.38885054198403646,left,Anti-Immigration Sentiment,thing,that,force,fueled,"The verb 'fueled' is used metaphorically to describe how funding (the target noun 'that') serves as the source of energy or motivation for the migrant 'caravan.' Literally, 'fueled' refers to supplying fuel to a physical entity, but here it abstractly represents funding's role in driving or sustaining the caravan's movement, transcending its physical action.",'Gohmert says DOJ must investigate the funding that fueled migrant ‘caravan’'
2211,85,0.46059405739975195,right,Anti-Immigration Sentiment,thing,need,force,fueled,"The verb 'fueled' is used metaphorically to describe how the abstract concept of 'need' is driven or intensified by fear. Literally, 'fueled' refers to supplying fuel to a physical entity, but here it transfers this concept to an abstract noun, implying that fear 'powers' or 'drives' the need, which is not a physical action.","'The need to arm America was fueled by fear of minorities, now immigrants.'"
528,85,0.4678657651638842,left,Border Control and Security,thing,trafficking,force,fueled,"The verb 'fueled' is used metaphorically to describe how trafficking is driven or sustained by the smuggling of human beings. It does not refer to a physical action of supplying fuel but rather indicates that smuggling serves as the underlying cause or 'fuel' for trafficking, transcending its literal meaning.",'Are largely fueled by the trafficking and smuggling of human beings. [2016]'
907,85,0.4755893770899857,left,Anti-Immigration Sentiment,thing,which,force,fuelled,"The verb 'fuelled' is used metaphorically to describe the nation's situation as causing an increase in crime, rather than describing a physical action of supplying fuel. The metaphorical aspect lies in equating the influx of migrants to a fuel source that intensifies violent crime, personifying the nation's circumstances as an active agent driving the escalation.","'Tens of thousands of migrants continue to pour in to the Nordic nation, which has fuelled a stunning spike in violent crime, sexual assault, and gang warfare.'"
1049,85,0.4867768378995876,left,Anti-Immigration Sentiment,thing,spike,force,fuelled,"The verb 'fuelled' is used metaphorically to describe how the influx of migrants has caused an increase ('spike') in crime. The source verb 'fuel' (to supply energy) is applied to the abstract concept of a 'spike' (a sharp rise), implying that the migrants are the catalyst or 'fuel' for the increase, rather than describing a physical action.","'Tens of thousands of migrants continue to pour in to the Nordic nation, which has fuelled a stunning spike in violent crime, sexual assault, and gang warfare.'"
2208,85,0.5020252171430637,right,Anti-Immigration Sentiment,thing,fear,force,fueled,"'Fueled' is used metaphorically to describe 'fear' as a source of energy or motivation, personifying fear as an active force that drives action. The verb transcends its literal meaning (supplying physical fuel) to convey an abstract, emotional influence.","'The need to arm America was fueled by fear of minorities, now immigrants.'"
284,85,0.5763125586065027,left,Other,thing,crime,force,fuel,"The verb 'fuel' is used metaphorically to describe how the factors 'End #SanctuaryCities and lack of vetting' contribute to the growth or sustenance of 'crime.' The metaphorical aspect lies in equating the causal relationship between these factors and the increase in crime to the physical process of adding fuel to a fire, implying that the factors 'ignite' or 'sustain' the crime, rather than describing a literal physical action.",'End #SanctuaryCities and lack of vetting continue to fuel illegal alien crime.'
892,85,0.5820093138169018,left,Anti-Immigration Sentiment,thing,Crash,force,Fueled,"The verb 'fueled' is used metaphorically to describe the crash as being 'driven' by alcohol, extending the source verb's literal meaning of providing fuel to a physical action. Here, 'fueled' signifies that alcohol acted as a causal force behind the crash, personifying the crash as if it were an entity propelled by alcohol, rather than describing a direct physical action on the crash itself.",'Death By Open Border: Illegal Alien Killed Alabama Nurse In Alcohol-Fueled Crash'
1997,86,0.33703854091381674,left,Other,person,everyone,force,hurts,"The verb 'hurts' is used metaphorically to describe non-physical harm caused to 'everyone' through the situation of dependency. It transcends its literal meaning of causing physical pain by attributing a tangible action to an abstract group, implying emotional or relational damage rather than literal injury.",'Making other nations dependent on our aid hurts everyone involved.'
932,86,0.3464433466634203,right,United States,place,nation,force,hurt,"The verb 'hurt' is used metaphorically to describe a negative impact on the abstract entity 'nation,' transcending its literal meaning of causing physical pain. It implies a figurative harm or adverse effect rather than a physical action.",'Not voting for the Dem (no matter whom) will only hurt the nation.'
2075,86,0.3641218882434691,left,Other,person,everyone,force,hurt,"The verb 'hurt' is used metaphorically to describe the non-physical harm inflicted on 'everyone' by 'illegals.' The term 'hurt' transcends its literal meaning of causing physical pain, instead conveying emotional or societal damage, such as economic strain or social disruption, without direct reference to a physical action.",'Illegals hurt everyone while legal immigrants help everyone!'
1647,86,0.372896410159587,left,Other,person,journalist,force,feelings,"The verb 'hurt' is used metaphorically to describe the emotional impact on 'feelings' (target noun), which is an abstract concept. The action of 'hurting' typically refers to physical or emotional pain, but here it's applied to 'feelings' to convey a metaphorical sense of causing distress or harm, rather than a literal physical action.",'Other words he hurt Fredo's  the fake journalist feelings 21 times.'
1641,86,0.40444247878407047,left,Other,person,he,force,hurt,"The verb 'hurt' is used metaphorically to describe the action of causing emotional pain to 'Fredo's feelings' rather than a physical action. The source verb 'hurt' (typically associated with physical pain) is applied to an abstract target (emotions), transcending its literal meaning through personification or metaphorical extension.",'Other words he hurt Fredo's  the fake journalist feelings 21 times.'
1948,86,0.4514722864729462,left,United States,place,us,force,hurt,"The verb 'hurt' is used metaphorically to describe non-physical harm, implying emotional or political damage rather than literal injury. It transcends its original meaning of causing physical pain to characterize the target noun 'us' as being negatively impacted by Mexico's actions.",'Mexico was never a good friend of the USA they always  looked upon us as white bad people and try to hurt us and take advantage of us and never help us .the democrats are in alliance with them to do the same bring more illegals for votes'
143,86,0.46792826186516406,left,United States,place,country,force,hurts,"The verb 'hurts' is used metaphorically to describe the negative impact of illegal immigration on the abstract concept of 'country.' It transcends its literal meaning of causing physical pain and instead conveys harm to the country's economy, society, or well-being, implying personification or conceptual harm without a direct physical action.",'Illegal immigration only hurts this country.'
934,86,0.5044439412916785,left,Economic Impact,thing,It,force,hurting,"The verb 'hurting' is used metaphorically to describe the financial impact on 'her pocketbook.' While 'hurting' literally refers to causing physical pain, here it is applied to an abstract concept (financial loss), transcending its original meaning to convey harm in a non-physical context.",'It's hurting her pocketbook now.'
931,86,0.557984793575861,left,Economic Impact,thing,pocketbook,force,hurting,"The verb 'hurting' is used metaphorically to describe the financial impact on the 'pocketbook' (a metaphor for money or finances). The verb does not refer to a physical action or pain, instead conveying a non-literal, abstract harm to an inanimate object, which is a common metaphorical usage in financial contexts.",'It's hurting her pocketbook now.'
1451,86,0.6492743076650184,left,Citizens,person,me,force,pains,"The verb 'pains' is used metaphorically to convey emotional distress rather than a physical action. The phrase 'it pains me to say it' is an idiomatic expression where 'pains' signifies emotional difficulty or discomfort, not literal physical pain. This usage transcends the verb's original meaning of causing physical suffering, personifying the emotional state of the target noun 'me'.","'As much as it pains me to say it,  a” photo ID “ is not enough.'"
409,86,0.7353855434932441,right,Humanitarian Concerns,thing,heart,other,aches,"The verb 'aches' is used metaphorically to convey emotional pain rather than a physical sensation. While 'aches' literally describes physical pain, in this context, it characterizes the 'heart' as experiencing sorrow or anguish, which is an emotional state, not a physical action.","'My heart aches for the families of everyone murdered - by illegals, citizens, cops, family members, suicide victims.'"
209,87,0.8002762515130006,right,Other,thing,operation,other,describes,"The verb 'describes' is used metaphorically to attribute a conceptual role to the target noun 'operation,' implying that the operation functions as a narrative or explanatory framework rather than engaging in a physical action. The metaphorical aspect lies in the verb's transcendence of its literal meaning to convey a symbolic or abstract relationship between the operation and the concept of migration.",'This operation describes then from soul POV a migration in context &amp; then an apparent migration in apparent time.'
3088,87,0.8079255203953991,left,Other,person,I,other,see,"The verb 'see' is used metaphorically to convey the speaker's subjective perspective or interpretation of the political rhetoric, rather than describing a literal physical act of vision. It represents the conceptualization of understanding or perceiving a situation from a particular viewpoint, transcending its literal meaning.","'And, as I see it, pushing back against political rhetoric that's mean to obscure the connection.'"
1127,87,0.8225422078083194,left,Other,thing,’s,other,see,"The verb 'see' is used metaphorically to indicate the act of observing or waiting for an outcome, rather than describing a literal physical action. It personifies the process of 'happening' by implying an active role in observing the result, transcending its literal meaning.",'Let’s see what happens!'
1042,87,0.8253155396279296,left,Other,person,ur,other,SEES,"The verb 'SEES' is used metaphorically to convey God's awareness or knowledge of the lies, rather than describing a physical act of sight. It personifies God's ability to perceive deception, extending the source verb beyond its literal meaning of visual perception.",'GOD SEES ur LIES!'
2231,87,0.8292335472794767,right,Other,person,you,other,find,"The verb 'find' is used metaphorically here to indicate that the subject perceives or identifies a symbolic connection between 'these kind of people' and 'your own hate,' transcending its literal meaning of physically locating something. It conveys a mental or conceptual process rather than a physical action.",'It is not surprising that you find these kind of people to represent your own hate'
862,87,0.8315796601661186,left,Other,thing,Migrations,other,explores,"The verb 'explores' is used metaphorically to describe the abstract concept of 'Migrations' (likely referring to cultural or historical movements). The verb transcends its literal meaning of physically investigating a place, instead conveying the act of examining or analyzing an abstract idea, which is a metaphorical extension of the source verb.",'Gypsy Flores explores Musical Migrations every Wednesday 1 to 4 pm'
1032,87,0.835775505374426,left,Other,person,GOD,other,SEES,"The verb 'SEES' is used metaphorically to attribute a human action (perceiving with eyes) to the target noun 'GOD,' which is not a physical entity. This represents personification, as it imbues God with a capacity for literal visual perception, transcending the abstract concept of divine omniscience.",'GOD SEES ur LIES!'
2563,87,0.8357825766587099,left,Other,place,Square,other,revealed,"The verb 'revealed' is used metaphorically here, attributing a human action (revealing information) to 'Square,' which is a place. This personification transcends the literal physical action of a square disclosing something, instead implying the Square as a symbol or entity that exposes hidden truths, which is not a direct physical action.","'Homan Square revealed: how Chicago police 'disappeared' 7,000 people  Additional Ref: #Established TITLE 8 #LAWS on #LEGAL Immigration.'"
893,87,0.8367346426881749,right,Other,thing,soul,other,Find,"The verb 'find' is used metaphorically to describe the abstract concept of discovering one's soul, which is not a physical entity. The verb transcends its literal meaning of locating a tangible object and instead conveys an internal, abstract process of self-realization.",'Find your soul.'
1714,87,0.8389592433369888,left,Other,thing,it,other,makes,"The verb 'makes' is used metaphorically to describe the effect of speech on someone's perception. It does not refer to a physical action but rather conveys the abstract result of sounding stupid, which is a conceptual metaphor for the impact of words.","'When you say things like that, Nancy, it just makes you sound stupid.'"
2634,87,0.8417637134659555,left,Other,person,You,other,make,"The verb 'make' is used metaphorically here to describe the abstract action of causing someone to be the subject of mockery ('make fun of'). This transcends its literal meaning of physically creating something, instead conveying a conceptualized, non-physical interaction where 'You' is being targeted for ridicule.",'You can't make fun of #Democrats.'
2749,87,0.8434228970327443,left,Other,thing,anger,other,taken,"The verb 'taken' is used metaphorically as part of the phrasal verb 'take out,' which here conveys the abstract action of expressing or releasing anger, not a physical act of removal. The metaphorical aspect lies in using a verb associated with physical action to describe an emotional process.",'The times for which I personally have the most shame are those instances when I have taken out my anger at someone more powerful than me on someone less powerful than me.'
2674,87,0.8443960438707572,left,Other,thing,independence,other,gives,"The verb 'gives' is used metaphorically to describe the abstract result of 'independence' as a consequence of breaking free from a headquarters component. The verb transcends its literal meaning of transferring a physical object, instead conveying the conceptual acquisition of autonomy, which is not a tangible action.",'Breaking free from being a headquarters component gives them independence to assert themselves within and without department.'
1896,87,0.8540175021996385,left,Other,person,US,other,claim,"The verb 'claim' is used metaphorically to assert a label ('Racist') about the target noun 'US', transcending its literal meaning of physically taking possession. Here, 'claim' signifies making an accusatory assertion rather than describing a tangible action.","'But they claim the US as ""Racist"" for wanting to protect our southern border?'"
1416,87,0.8572453647238155,left,Other,thing,'s,other,see,"The verb 'see' is used metaphorically here to represent the mental process of checking or verifying understanding, rather than referring to the physical act of sight. The phrase 'let's see' is a common idiomatic expression where 'see' functions as a placeholder for 'check' or 'figure out,' transcending its literal meaning to describe a cognitive action.",'So let's see if I got this right.'
2217,87,0.8580974184916792,left,Other,person,Everyone,other,bewitched,"The verb 'bewitched' is used metaphorically to describe 'Everyone' as being entranced or captivated by 'political correctness.' The source verb 'bewitched' (originally implying magical enchantment) is extended to convey a non-physical state of being overwhelmed or influenced by an idea, rather than describing a literal physical action.",'Everyone bewitched by political correctness.'
61,87,0.858774198970002,left,Other,thing,it,other,explains,"The verb 'explains' is used metaphorically here, as the picture ('pic') is not literally providing a verbal or logical explanation for 'it' but is instead symbolically or visually conveying its meaning. The metaphorical aspect lies in attributing the action of 'explaining' to the picture, which transcends its physical action of depicting and instead implies a conceptual clarification, personifying the picture as an explainer.","'Oh' here is pic, that explains it all...'"
2679,87,0.8629998749284199,left,Other,person,themselves,other,assert,"The verb 'assert' is used metaphorically to describe 'themselves' as if they are claiming or maintaining a position/status, rather than describing a physical action. The metaphorical aspect lies in using 'assert' to signify the act of declaring independence, which transcends literal physical movement.",'Breaking free from being a headquarters component gives them independence to assert themselves within and without department.'
2689,87,0.8674554973131512,left,Other,person,They,other,belittle,"'Belittle' is used metaphorically here to characterize 'They' by implying an action of diminishing or devaluing, even though the sentence is incomplete. The verb transcends its literal meaning of reducing something in importance, suggesting a metaphorical act of contempt or underestimation towards 'They'.",'They belittle.'
2335,87,0.8676955378347476,right,Other,person,children,other,steal,"The verb 'steal' is used metaphorically to describe the act of taking something intangible (e.g., rights, innocence, or emotional connection) from the children, rather than referring to a literal physical abduction. The metaphor extends the source verb's meaning beyond its literal action of physically taking an object.",'And then you want to steal their children too.'
2503,87,0.8690966210941258,left,Other,person,us,other,look,"The verb 'look' is used metaphorically to describe the perceived appearance or reputation of 'us' rather than a physical action. It conveys how the immigration laws make 'us' appear worse in comparison to third-world countries, transcending its literal meaning of visual observation.",'What are you doing to reform our crappy immigration laws that make us look worse than 3rd world countries???'
2863,87,0.8703666247424195,right,Other,person,We,other,called,"The verb 'called' is used metaphorically in the phrase 'called out,' which means to publicly criticize or point out something. Here, 'called' transcends its literal meaning (uttering a sound) to convey the metaphorical action of publicly condemning the racist behavior, rather than describing a physical act of vocalization.",'We called a person's racist behavior out for being racist.'
2023,87,0.8713404272346129,right,Other,person,God,other,want,"The verb 'want' is used metaphorically to attribute a human characteristic (desire) to the non-physical entity 'God'. This transcends its literal meaning of describing a physical action, instead personifying God with volitional agency.","'That's why God doesn't want us to be ""religious"", but to have faith.'"
1904,87,0.873079279391586,left,Other,person,Santa,other,Reported,"The verb 'Reported' is used metaphorically to convey that Santa is being treated as a subject of news or media coverage, transcending its literal meaning of conveying information about an event. The metaphorical aspect lies in presenting Santa as a figure of public discourse rather than describing a physical action.",'Reported   Santa'
1684,87,0.8774472340560378,left,Other,thing,foxes,other,taken,"The verb 'taken' is used metaphorically to describe foxes gaining control over the chicken coup, extending beyond its literal meaning of physical seizure. It evokes the metaphorical concept of cunning animals (foxes) strategically acquiring control, aligning with the fable's imagery where foxes outsmart chickens.","'When the 30 million illegals in the US say reconciliation is too late, the foxes have taken control of the chicken coup...'"
999,87,0.8783047456161315,left,Other,person,I,other,shudder,"The verb 'shudder' is used metaphorically to convey an intense emotional reaction (fear or discomfort) rather than a literal physical action. The phrase 'shudder to think' employs 'shudder' to describe the psychological impact of imagining Cali's fate, transcending its literal meaning of physical trembling.",'I shudder to think of what will happen to the great and lovely state of Cali.'
2590,87,0.8791438002943961,left,Other,person,I,other,hate,"The verb 'hate' is used metaphorically to convey the speaker's reluctance or aversion to the action of 'telling them,' which is an emotional state rather than a physical action. The metaphorical aspect lies in the use of 'hate' to characterize the speaker's internal feeling towards the act of communication, not a direct physical interaction with the target noun 'I'.","'I hate to tell them though, they'"
2325,87,0.8792148914197043,left,Other,thing,Generation,other,created,"The verb 'created' is used metaphorically to describe the emergence of 'Generation' as a conceptual or societal construct rather than a literal physical action. The term 'created' here implies the subject's role in bringing about the 'Dependency Generation' as a metaphorical entity, likely referring to a group of people shaped by systemic factors, rather than a direct physical creation.","'Pouring illegals in, the  have created the next Dependency Generation'"
1711,87,0.8800043267494329,left,Other,thing,shit,other,coated,"The verb 'coated' is used metaphorically to imply that the 'undocumented' shit is being presented in a sweet or deceptive manner, transcending the literal action of covering with a layer. The metaphorical aspect lies in applying the concept of coating (originally a physical action) to describe the superficial nature of the 'shit', suggesting it is masked or disguised.","'Don't give me that sugar-coated ""undocumented"" shit.'"
2773,87,0.880531169007046,right,Other,thing,lot,other,pissed,"The verb 'pissed' is used metaphorically to convey anger or frustration towards 'a lot of things,' transcending its literal meaning of urination. It personifies Russia's emotional state, employing the verb's slang connotation to describe a non-physical action.",'Russia is pissed abt. a lot of things.'
2025,87,0.8813145269690587,right,Other,thing,religion,other,despised,"The verb 'despised' is used metaphorically to convey intense contempt towards the abstract concept of 'religion.' The verb does not describe a physical action but instead expresses an emotional and cognitive attitude, transcending its literal meaning of physical disdain.",'He despised religion.'
2996,87,0.8817838067541901,right,Other,person,children,other,taken,"The verb 'taken' is used metaphorically to convey the act of assuming responsibility for the children, rather than describing a physical action. The phrase 'taken on your watch' implies taking charge or accountability, which transcends the literal meaning of physically carrying or moving the children.",'The children were taken on your watch.'
2252,87,0.8818891181660995,left,Other,person,you,other,look,"The verb 'look' is used metaphorically to characterize the target noun 'you' by attributing a non-physical trait (appearing foolish) rather than describing a literal physical action. The phrase 'look like a idiot' employs metaphor to convey an evaluative judgment about the person's demeanor or appearance, transcending its literal meaning of visual perception.",'you look like a idiot with your fake ass smile.'
2686,87,0.8827934245535107,right,Other,thing,hypocrisy,other,personifies,"The verb 'personifies' is used metaphorically to attribute human-like characteristics (personification) to the abstract concept 'hypocrisy,' which is not a physical entity. This transcends the literal action of embodying a tangible object or person, instead conveying a figurative representation of hypocrisy as if it were a person with traits.",'Trump uniquely personifies the hypocrisy  of anti-abortion activists.'
2741,87,0.8832422920180775,right,Other,place,Russia,other,pissed,"The verb 'pissed' is used metaphorically to convey the emotional state of anger towards the target noun 'Russia.' The source verb 'pissed' (informal for 'angry') transcends its literal physical action (urinating) to represent a figurative emotional state, personifying the country as experiencing anger.",'Russia is pissed abt. a lot of things.'
1996,87,0.8832723264896273,left,Other,place,Benghazi,other,lies,"The verb 'lies' is used metaphorically to imply that something (such as truth, information, or a hidden narrative) is concealed or situated within Benghazi, rather than describing a physical action of the noun 'Benghazi' itself. The metaphorical use transcends the literal meaning of 'lies' (to be in a physical position) and instead suggests a conceptual or hidden presence.",'We watched #FastAndFurous happen   grievance attacked by our GOVT Unelected bureaucracy’s  #Benghazi lies  Criminal illegals murder and rape &amp;👇'
2391,87,0.8840447178708395,right,Other,thing,influx,other,create,"The verb 'create' is used metaphorically to describe the action of initiating or causing an 'influx' of new residents. While 'create' literally means to bring something into existence from nothing, here it is used to characterize the process of generating a large-scale movement or flow of people, which is not a physical act of creation but a conceptual metaphor for instigating a change or effect.","'It's really this fucking simple, want to create an influx of new residents?'"
1230,87,0.8843285255568553,right,Other,person,team,other,discovered,"The verb 'discovered' is used metaphorically to describe the team's intellectual process of uncovering historical information about migration patterns, rather than referring to a physical action of finding tangible objects. The metaphorical aspect lies in applying the source verb (discovery) to abstract knowledge rather than a literal physical act.","'An international team of researchers from Tel Aviv University, the Israel Antiquities Authority and Harvard University has discovered that waves of migration from Anatolia and the Zagros...'"
2558,87,0.8859314593323353,right,Other,thing,shit,other,spouting,"The verb 'spouting' is used metaphorically to describe the act of speaking nonsense or irrelevant statements. While 'spouting' literally refers to emitting something (e.g., a whale spouting water), in this context, it transcends its physical meaning to characterize the target noun 'shit' as verbal content being 'emitted' in a figurative sense, akin to personification or metaphorical expression.","'He's been thrown off stages since H.S, spouting shit.'"
2026,87,0.8870035699219254,left,Other,person,it,other,spin,"The verb 'spin' is used metaphorically to describe the act of manipulating or shaping information/narratives, rather than a physical rotation. It represents the conceptual action of twisting or distorting the target noun 'it' (likely a political issue or statement) into a particular interpretation, which transcends its literal meaning of rotating an object.",'This is nothing new but libs/progs try to spin it as orange man bad like everything else.'
1555,87,0.8875910843506262,right,Other,thing,possibility,other,taint,"The verb 'taint' is used metaphorically to describe the abstract noun 'possibility.' Literally, 'taint' refers to physical contamination, but here it conveys the idea of compromising or spoiling an intangible concept (possibility) through association or negative influence, without implying a direct physical action.",'Working in this WH will forever taint any possibility of that..'
2985,87,0.8885008192590488,right,Other,person,children,other,uses,"The verb 'uses' is employed metaphorically to characterize 'children' as a tool or resource for political leverage. This transcends a literal physical action, instead attributing an abstract, strategic function to the children, which does not involve direct physical interaction or tangible action.","'Again trump is uses innocent children as political leverage to get his way what a DISGUSTING thing to do ""Trump to meet House GOP to discuss 'compromise' immigration bill""'"
1125,87,0.8909762748711659,left,Other,organization,UR,other,lemming,"The verb 'lemming' is used metaphorically to describe 'UR' as acting in a way characteristic of lemmings, implying group behavior or mindless following. This transcends the literal physical action of a lemming and instead personifies 'UR' with traits associated with the animal, qualifying as metaphorical.",'U&amp;UR lemming lefties see world through conflicts&amp;issue baiting ALL created by Left because U have absolutely NO positive plan 4 America.'
2647,87,0.8923257153669933,right,Other,person,he,other,gives,"The verb 'gives' is used metaphorically in the phrase 'gives a shit,' which is an idiom meaning 'to care about' or 'to be concerned about.' Here, 'gives' does not describe a physical transfer of an object but instead conveys an emotional state (concern) toward the target noun 'he,' transcending its literal meaning.",'Like he gives a shit about whether immigrants get abortions.'
747,87,0.8924266644387138,left,Other,person,child,other,exercise,"The verb 'exercise' is used metaphorically to describe the abstract action of applying a legal right, rather than a physical action. The source verb 'exercise' (originally tied to physical activity) is extended to signify the conceptual act of utilizing a right, which transcends its literal meaning.",'The child can exercise their right to citizenship when they turn 18.'
861,87,0.8932119496410343,left,Other,thing,pm,other,explores,"'Explores' is used metaphorically to describe the abstract activity of examining or investigating the subject 'Musical Migrations' during the time period 'pm'. The verb transcends its literal meaning of physically exploring a place or object, instead characterizing the intellectual or conceptual engagement with the topic.",'Gypsy Flores explores Musical Migrations every Wednesday 1 to 4 pm'
2786,87,0.897805846003608,left,Other,person,YOU,other,TWEETING,"The verb 'TWEETING' is used metaphorically to describe the act of sharing or disseminating information (old news) about social issues, rather than referring to the literal physical action of posting on Twitter. It metaphorically represents the spread of information, akin to 'tweeping' as a metaphor for communication or rumor spreading.",'...  ....YOU ARE TWEETING OLD NEWS AS #Migrants &amp;/or similar already dumped in #Ireland....so sad as #Nigeria ( cannabels) already in #Ireland.'
1748,87,0.8982908037947628,left,Other,person,base,other,frigging,"The verb 'frigging' is used metaphorically as an intensifier to emphasize the state of 'asleep' for the target noun 'base'. It does not describe a physical action but instead conveys a heightened emotional or situational state, transcending its literal function as a mere intensifier.","'Things are going south, real, real fast; and the conservative base is frigging asleep'"
2804,87,0.899045066378239,right,Other,thing,things,other,connected,"The verb 'connected' is used metaphorically to describe a non-physical relationship between abstract 'things'. It transcends its literal meaning of physical linkage to imply a conceptual or emotional connection, as the sentence contrasts literal disconnection with a perceived feeling of connection.","'The two things are not connected, even if it feels like they are.'"
1929,87,0.9021134071744185,right,Other,person,dissenter,other,purging,"The verb 'purging' is used metaphorically to describe the non-physical action of removing or eliminating dissenters from a group or organization. The source verb 'purge' (originally meaning to clean or remove physically) is extended here to signify the conceptual act of expelling individuals who challenge established norms, without directly referencing a physical action.","'Where have we seen this act before: Demonizing  others, conflating loyalty with patriotism, purging dissenter, “purifying” by eliminating immigrants, demanding fealty to the leader, neutering Press &amp; other institutions.'"
1660,87,0.9029462210583232,left,Other,person,us,other,connecting,"The verb 'connecting' is used metaphorically to describe the act of bringing 'us' and Marty together, transcending its literal meaning of physically linking objects. Here, 'connecting' refers to establishing a relational or communicative link between people, which is abstract rather than a physical action.","'Bill, thank you for connecting us to Marty!'"
1173,87,0.9033573436531069,left,Other,thing,this,other,rot,"The verb 'rot' is used metaphorically to describe 'this,' implying that the target noun is causing decay or corruption, rather than referring to a physical decay process. The metaphor transcends literal meaning by personifying or dehumanizing 'this' as something inherently corrupt, aligning with the context of expelling harmful elements.",'Get this rot the hell out of our country &amp; keep them out.'
377,87,0.905439010306534,left,Other,thing,memory,other,refresh,"The verb 'refresh' is used metaphorically to describe the mental process of recalling or reactivating 'memory.' Literally, 'refresh' implies making something physically fresh again (e.g., a drink or a screen), but here it extends to a non-physical action of reinvigorating a cognitive state. This transcends the verb's original meaning, employing metaphor to personify or animate the abstract concept of memory.",'Please refresh my memory.'
1036,87,0.9066828573982053,left,Other,thing,which,other,criminalized,"The verb 'criminalized' is used metaphorically to personify the action of 'going to drugs' as an entity capable of causing criminalization. The verb transcends its literal meaning (which typically refers to legal classification as a crime) by attributing an active, agent-like role to the action itself, implying that the act of using drugs inherently criminalizes the youth, rather than describing a direct physical action.",'Our unemployment rate was horrible which led our youth going to drugs which criminalized them.'
2896,87,0.9081206195598989,right,Other,organization,party,other,replied,"The verb 'replied' is used metaphorically to personify the political 'party' as an entity capable of autonomous action (responding to a question). This transcends its literal meaning of a physical action performed by a person, instead attributing human agency to an abstract organization.","'The person asked if they would stop fear mongering over immigrants, and the party replied that they'd remove them from the role.'"
1452,87,0.9084688507507559,right,Other,person,moron,other,chomping,"The verb 'chomping' is used metaphorically to characterize 'moron' by implying an aggressive or repetitive action (chomping) that transcends its literal meaning of chewing. It conveys the idea of the 'moron' as someone persistently or forcefully engaging in a behavior, without referring to a physical act of biting.",'He STARTED it you straw chomping moron.'
1857,87,0.9109896733698261,left,Other,person,victims,other,ask,"The verb 'ask' is used metaphorically to characterize 'victims' by implying a conceptual or directive action rather than a literal physical action. The phrasing suggests a call to action or a metaphorical request directed at victims, transcending the verb's literal meaning of seeking information or permission from a person.",'ask illegals-crimes victims.'
666,87,0.9115430350185689,right,Other,thing,link,other,reading,"The verb 'reading' is used metaphorically here to describe the action of examining or following a link, which does not involve the literal interpretation of written text. The target noun 'link' refers to a digital hyperlink, and the verb 'reading' transcends its original meaning to convey the act of interacting with the link, rather than physically reading text.",'I'll finish reading the link now.'
2064,87,0.9179093203391521,right,Other,thing,totes,other,adorbs,"The verb 'adorbs' is used metaphorically to describe Melania's state of being 'adorable' (cute), which is not a physical action. It conveys an emotional or aesthetic quality rather than a literal verb action, personifying or characterizing her appearance through a slang term.","'Well, I *will* give Melania this -- she's totes adorbs when she's happy.'"
2643,87,0.9201110218756223,left,Other,person,leftists,other,idiot,"The verb 'idiot' is used metaphorically to characterize the target noun 'leftists' by assigning them the attribute of being foolish or unintelligent, which is a conceptual metaphor rather than a literal physical action. It personifies or labels the leftists with the quality of idiocy, transcending its literal meaning.","'You idiot leftists want THAT life, move to Mexico, Central or South America.'"
2964,87,0.9228370714548388,right,Other,thing,nutsack,other,owned,"The verb 'owned' is used metaphorically to imply control or possession over the target noun 'nutsack,' which is a slang term for the testicles. While 'own' can have a literal meaning of physical possession, its application to a body part in this context transcends direct physical ownership, suggesting metaphorical control or dominance, which aligns with the metaphorical use of the verb.",'And your nutsack is owned by Russia.'
