,met_id,cluster,doc_id,source_word,target_word,llm_expl,sentence,distance
1089923605465423872_0_2_0,1089923605465423872_0_2_0,30,1089923605465423872,fallen,Crime,"Crime has decreased, a decline metaphorically described as 'fallen'. The decline in crime is attributed to specific policies or actions. The reduction in crime is morally positive and justified. Continue the policies that have led to the decline in crime.",'Crime has fallen significantly since the 1990s.',0.8171557
1063236351410216963_3_3_5,1063236351410216963_3_3_5,30,1063236351410216963,pushes,wages,There is a force causing wages to decrease. Corporations or economic forces are exerting pressure to lower wages. It is exploitative for powerful entities to suppress wages for profit. Regulate corporate power to stop the downward pressure on wages.,'That is what pushes down wages.',0.85234946
1137412639011803136_0_22_0,1137412639011803136_0_22_0,30,1137412639011803136,plunged,Treasuries,"Treasuries have experienced a rapid and severe decline in value. Interest rates increased significantly, leading to the sharp drop in Treasury prices. The volatile market behavior is harmful to economic stability. Interest rates should be adjusted to prevent further destabilization of Treasury values.","'Treasuries, where 30-yr rates, which rose a full percentage point to as high as 3.5%, have plunged so fast that they’re all the way back to where they were on Election Day.'",0.89887726
1090017681217077254_3_6_7,1090017681217077254_3_6_7,31,1090017681217077254,call,him,The person's actions contradict their stated values or public image. The person's behavior fails to align with their words or expectations. It is unethical for the person to act inconsistently with their public claims. The person should be held accountable for their actions to match their words.,'I guess that is why some call him a hypocrite and fox news State TV.',0.5607135
1010329421285412864_3_2_3,1010329421285412864_3_2_3,31,1010329421285412864,Lying,Piece,The person is being dishonest and deceitful. The person's actions involve lying to mislead others. It is unethical for the person to lie and deceive. The person should stop lying and be truthful.,'Fuck You Lying Piece Of Shit',0.5939727
1067208422725246976_0_1_0,1067208422725246976_0_1_0,31,1067208422725246976,scream,I,An unfair or unethical situation is occurring. The person is reacting strongly to the injustice they perceive. The situation is unethical and warrants strong condemnation. The unfair situation should be corrected or addressed immediately.,'I scream foul.',0.63175625
1146015293686329349_0_5_2,1146015293686329349_0_5_2,31,1146015293686329349,paying,we,There is an ongoing cost or burden being incurred without proper acknowledgment. A prior action or decision has led to this hidden cost. It is unethical to ignore or downplay the consequences of one's actions. The responsible party should address the root cause to prevent further harm.,'I figure we are already paying.',0.6765458
1009257396630376449_5_3_0,1009257396630376449_5_3_0,31,1009257396630376449,engage,You,The real issue is being ignored by the person. The person is avoiding responsibility by not addressing the real issue. It is unethical to ignore the real issue and not take responsibility. The person should actively address the real issue instead of avoiding it.,'You won't engage in the real issue.',0.6827548
1025773243721043968_1_3_0,1025773243721043968_1_3_0,31,1025773243721043968,making,You,The current situation is making support more difficult for the person in need. The person's actions are intentionally creating barriers to support. It is unethical for the person to obstruct support efforts. The person should actively work to remove obstacles and facilitate support.,'You should be making it easier to support you instead of harder!',0.6830152
1087500188648910853_1_8_6,1087500188648910853_1_8_6,31,1087500188648910853,sniffing,who,"The person is secretly searching through speeches to exploit workers, causing starvation. The person's hidden actions in speeches are the source of workers' starvation. It is unethical that the person is using their position to secretly harm workers. The person should stop exploiting workers and ensure their basic needs are met.",'I think you are the criminal who is sniffing in every teleprompter speech...starving 800000 workers &amp; their families',0.7028738
1050302304430243842_2_13_14,1050302304430243842_2_13_14,31,1050302304430243842,ripping,you,"The entity is continuously exploiting customers through deceptive practices. The entity intentionally deceives customers to maximize profit despite the harm caused. It is unethical for the entity to deceive customers for financial gain, causing them harm. Customers should stop paying exorbitant fees and take legal action against the deceptive practices.",'Oh right their is no line since they charge a fortune to continue ripping you off.',0.7139457
1061823967340695553_1_8_10,1061823967340695553_1_8_10,31,1061823967340695553,breaks,heart,The situation is causing deep emotional pain. The actions or circumstances leading to this pain are unethical or harmful. It is morally wrong that such actions are causing emotional suffering. The harmful actions should be stopped to heal the emotional pain.,'This is sick and twisted...and truly breaks my heart.',0.71408314
1088916264947306497_1_5_8,1088916264947306497_1_5_8,31,1088916264947306497,sold,river,The person has been betrayed through deception. Someone intentionally deceived him to take advantage of him. Deceiving someone and taking advantage of them is immoral. The person should be freed from the deceit or compensated.,'Hope he hasn’t been sold down the river',0.7197986
1166293506140323840_0_3_4,1166293506140323840_0_3_4,31,1166293506140323840,playing,victim,Someone is falsely pretending to be a victim for personal gain. The person is intentionally deceiving others by adopting a victim role. It is hypocritical and dishonest to manipulate emotions by playing the victim. The person should stop faking vulnerability and take responsibility for their actions.,"'Dude, stop playing victim here.'",0.72193795
1112712922143191040_3_0_1,1112712922143191040_3_0_1,31,1112712922143191040,TRACKED,HER,"Someone is being actively hunted or pursued. The person is being targeted for a specific reason, likely related to suspicion or accusation. It is unethical to pursue someone without just cause or due process. The pursuit should be halted, and the person should be granted protection or freedom.",'TRACKED HER DOWN!',0.73712647
1077286099578368005_2_2_5,1077286099578368005_2_2_5,31,1077286099578368005,give,perspective,The person lacks understanding of what is truly important. The situation has not provided the person with the necessary insight. It is unethical that the person remains unaware of what holds genuine value. The person should gain clarity by experiencing the relevant context.,'It’d give him some perspective on what’s really important.',0.74189174
1147662494187610113_2_9_11,1147662494187610113_2_9_11,31,1147662494187610113,BREAKING,LAW,"The person's actions are causing damage by breaking the law. The person has violated legal rules, destabilizing the system. It is immoral for the person to break the law and cause harm. The person should be removed from office to stop their destructive actions.","'I hope you get kicked OUT of office for BREAKING THE LAW, just like !!'",0.74439436
977269078279774209_0_4_5,977269078279774209_0_4_5,31,977269078279774209,caused,tweeting,The person's actions have led to significant chaos and financial mismanagement. The person's act of tweeting to veto decisions caused the chaos and excessive spending. It is irresponsible and unethical for the person to cause chaos and misuse public funds. The person should stop tweeting to veto and take responsibility for the financial consequences.,"'All this chaos he caused tweeting to veto it, $1.3 Trillion dollars for 6months,most for the military.'",0.7529422
977269078279774209_0_7_8,977269078279774209_0_7_8,31,977269078279774209,veto,it,"The person's use of veto power is causing widespread chaos. The person is misusing their authority by leveraging social media to block decisions, leading to instability. It is unethical to wield power irresponsibly through chaotic public actions. The person should cease using social media to disrupt decisions and restore order.","'All this chaos he caused tweeting to veto it, $1.3 Trillion dollars for 6months,most for the military.'",0.7606229
1009241593746948097_0_13_9,1009241593746948097_0_13_9,31,1009241593746948097,run,he,Zuckerberg is failing to manage his company with integrity. Zuckerberg's management style compromises user privacy through unethical practices. It is unethical for Zuckerberg to prioritize profit over user privacy in running his company. Zuckerberg should be held accountable and prevented from mismanaging his company's data practices.,'Zuckerberg is in so far over his head that he can’t even run his company honestly without purging our privacy and you think we care what the twit has to say.',0.776099
1072956271307874304_1_8_10,1072956271307874304_1_8_10,31,1072956271307874304,sabotage,state,The state is being deliberately destroyed or undermined. Him and Brown are collaborating to damage the state through destructive actions. It is unethical for Him and Brown to work together to harm the state. Him and Brown should stop their collaboration and cease their destructive actions.,'Him and Brown have been working together to sabotage this state and make it all for the ILLEGALS.',0.77912414
1143335700894572544_0_5_6,1143335700894572544_0_5_6,31,1143335700894572544,spreading,poison,Someone is spreading harmful information about Maggie. The person is intentionally spreading false or damaging information to harm Maggie. It is wrong to spread harmful lies about someone else. The person should stop spreading false information and apologize to Maggie.,'Why are you so busy spreading poison about Maggie?',0.7822186
1015813313547075585_3_2_1,1015813313547075585_3_2_1,31,1015813313547075585,have,they,They received a formal warning for misconduct. Their actions warrant a formal warning. It is unjust that they received a formal warning for their actions. They should avoid actions that lead to further formal warnings.,'Hence they have themselves a yellow card.',0.7851393
1082782696386879488_2_3_0,1082782696386879488_2_3_0,31,1082782696386879488,used,You,You are being treated as a tool rather than a person. Someone is exploiting your qualities for their own benefit. It is unethical to use you as a means to an end. You should be treated with respect and not used as a tool.,'You are being used.',0.7955408
1009241593746948097_0_18_20,1009241593746948097_0_18_20,31,1009241593746948097,purging,privacy,Zuckerberg's actions are eroding privacy as if it were a harmful element to be removed. Zuckerberg's inability to manage his company honestly leads him to sacrifice privacy through purging. It is unethical for Zuckerberg to treat privacy as something that can be purged without consequence. Zuckerberg should stop purging privacy and prioritize ethical data practices.,'Zuckerberg is in so far over his head that he can’t even run his company honestly without purging our privacy and you think we care what the twit has to say.',0.7984321
1009241593746948097_0_13_15,1009241593746948097_0_13_15,31,1009241593746948097,run,company,Zuckerberg cannot manage his company with integrity because of privacy violations. Zuckerberg's inability to run the company honestly stems from prioritizing privacy breaches. It is unethical for Zuckerberg to sacrifice user privacy to maintain control of his company. Zuckerberg should cease compromising privacy and be held accountable for unethical corporate practices.,'Zuckerberg is in so far over his head that he can’t even run his company honestly without purging our privacy and you think we care what the twit has to say.',0.80511487
973329235585544193_2_0_1,973329235585544193_2_0_1,31,973329235585544193,Stalking,homes,"There is persistent unwanted surveillance or harassment directed at homes, businesses, and courts. An entity is intentionally and persistently monitoring or threatening these locations like a stalker. It is unethical to subject homes, businesses, and courts to invasive surveillance or harassment. The stalking behavior should be stopped to protect these locations from intrusion.","'Stalking homes, businesses, courts.'",0.8054142
1177374788513406977_0_10_8,1177374788513406977_0_10_8,31,1177374788513406977,done,she,Bailey's misconduct is part of a pattern of unacceptable behavior. Bailey's own wrongdoing is the reason she is being excused. It is unethical to forgive Bailey's misconduct while holding others accountable. Bailey should face consequences for her actions instead of being forgiven.,"'Bailey didn’t have to fire them, she’s done some crap too and she was forgiven...they were all trying to help a little immigrant girl suspend them but not fire them #GreysAnatomy'",0.80703527
1118339401883369472_1_2_1,1118339401883369472_1_2_1,31,1118339401883369472,called,who,A strategic move was made without acknowledging others' contributions. The individual's overconfidence led them to take credit for the move. It is unethical to claim sole credit for a collective effort. The individual should share credit and collaborate more with others.,'Guess who called that shot?',0.8092355
1161460354683219968_0_5_6,1161460354683219968_0_5_6,31,1161460354683219968,embarrasses,herself,"Erin Burnett's attempts to outmaneuver Ken Cuccinelli are backfiring, causing her public humiliation. Erin Burnett uses flawed reasoning and deceptive tactics to challenge Cuccinelli. It is unethical for Erin Burnett to employ dishonest methods that lead to her own embarrassment. Erin Burnett should abandon circular logic and misstatements to avoid further embarrassment.",'*CNN's Erin Burnett embarrasses herself trying to trap acting US Citizenship and Immigration Services Director Ken Cuccinelli with circular logic and misstatements.',0.8362244
1030234836433293312_1_8_9,1030234836433293312_1_8_9,31,1030234836433293312,called,President,The person is falsely claiming the title of president. The person is illegitimately holding the title of president. It is immoral for the person to falsely claim the title of president. The person should be stripped of the title of president.,"'Get your story straight, Mr so-called President!'",0.8553701
1189020399805308928_0_6_5,1189020399805308928_0_6_5,31,1189020399805308928,Catch,Attendants,"Pilots are engaging in invasive, private behavior by live-streaming passengers in bathrooms. The pilots intentionally chose to exploit private spaces for voyeuristic purposes. It is unethical for pilots to invade passengers' privacy through live-streaming. The pilots should be held accountable and prevented from continuing their voyeuristic activities.",'#IllegalSurveillance #VideoVoyeurism Southwest Flight Attendants Catch Pilots Live Streaming Passengers In Bathroom',0.85847
1177374788513406977_0_10_12,1177374788513406977_0_10_12,31,1177374788513406977,done,crap,"Bailey's actions have caused a problematic situation, similar to the ones she criticizes in others. Bailey's own misconduct ('done some crap') is the root of the conflict. It is hypocritical and wrong that Bailey is being forgiven for her actions while others face consequences. Bailey should be held accountable for her actions, just as others are being punished.","'Bailey didn’t have to fire them, she’s done some crap too and she was forgiven...they were all trying to help a little immigrant girl suspend them but not fire them #GreysAnatomy'",0.85995716
1112586012595765248_1_10_11,1112586012595765248_1_10_11,31,1112586012595765248,collecting,data,The BPA's are gathering data in an invasive manner. The BPA's are systematically accumulating data without proper oversight. It is unethical for the BPA's to gather data in a way that violates privacy. The BPA's should stop collecting data or disclose their methods transparently.,'Hmm ISIS walked over the borders while BPA's are collecting data.',0.8949167
1029542916375674881_0_8_7,1029542916375674881_0_8_7,32,1029542916375674881,separated,illegals,"Certain groups are being torn away from their children, causing family separation. Policies or actions are forcibly tearing families apart, likening them to objects being 'separated' from their children. It is inhumane and unethical to treat families as disposable, tearing them apart in this manner. The separated families should be reunited, and policies causing this separation should be halted.","'Down the same drain as DACA, illegals separated from children, uninsured Americans, Monument attacker’s, 🤔who am I missing?'",0.40625852
980276493233410048_0_21_13,980276493233410048_0_21_13,32,980276493233410048,breaking,code,"Families are being forcibly separated, disrupting their unity. Policies or actions are causing families to be torn apart. Forcibly separating families is unethical and harmful. Policies should stop forcibly separating families.","'""1) taking away women's health care options;""  Progressive code for ABORTION ""(2) forcibly breaking up families;""'",0.42600003
1156927755314970631_1_5_2,1156927755314970631_1_5_2,32,1156927755314970631,torn,children,"Families are being forcibly separated, causing emotional devastation for children. Government policies and enforcement actions have caused the separation of families. It is unethical to separate children from their parents as a deliberate policy. The separated children should be immediately reunited with their families.",'Over 900 children have been torn apart from their parents since the court order was issued in 2018.',0.43227696
1008880417582305280_1_17_19,1008880417582305280_1_17_19,32,1008880417582305280,sign,KeepFamiliesTogetherAct,"Families are being separated, a harmful action, due to immigration policies. People have not taken action to prevent the separation of families. It is immoral to separate families and allow such policies to continue. People should sign the #KeepFamiliesTogetherAct to end family separations.",'This is not going to go away until  stops it or YOU joing with Dem's to sign #KeepFamiliesTogetherAct #NotInMyName #Immigration #FamiliesBelongTogether',0.47122455
973329235585544193_4_0_1,973329235585544193_4_0_1,32,973329235585544193,Tearing,families,"Families are being forcibly separated, causing emotional and physical harm. A deliberate policy or action is causing families to be torn apart. It is morally wrong to treat families as objects to be torn apart. The separation of families should be stopped, and families should be reunited.",'Tearing families apart.',0.4713775
980276493233410048_0_21_23,980276493233410048_0_21_23,32,980276493233410048,breaking,families,The families are being forcibly separated by harmful policies. The policies are causing the separation of families through coercive actions. It is immoral to forcibly separate families and disrupt their bonds. The policies should be stopped to prevent family separation and promote reunification.,"'""1) taking away women's health care options;""  Progressive code for ABORTION ""(2) forcibly breaking up families;""'",0.47478235
1008102286126665731_1_7_8,1008102286126665731_1_7_8,32,1008102286126665731,tear,children,"Children are being forcibly separated from their families, a destructive action. The separation is caused by someone intentionally tearing children away from their families. It is immoral to treat children as objects to be torn away from their families. The separation should be stopped, and children should be reunited with their families.","'You don't have the right to tear children away from their families, end of story.'",0.47619185
1008459426485829632_1_13_11,1008459426485829632_1_13_11,32,1008459426485829632,separated,they,Families are being torn apart due to the separation of children from their parents. The policy enforces separation when there is no proof of family ties. It is unethical to separate children from their families without evidence. The policy should be changed to prevent family separation and allow reunification.,"'If it can’t be proven they’re related, THEN they are separated!'",0.51711714
1011635331693797376_0_16_18,1011635331693797376_0_16_18,32,1011635331693797376,separating,family,The policy of separating families is causing emotional harm and disruption. The government intentionally separates families to exert control or punishment. It is morally wrong to separate families as a form of control or punishment. The policy should end family separations and prioritize reunification.,"'you seem to be very hurt, or very angry, but after 20 yr. of separating immigrant family’s, are eventually reunited and doing just fine.'",0.5187711
1028344758069092352_0_11_14,1028344758069092352_0_11_14,32,1028344758069092352,separating,patents,Immigrant families are being torn apart by government policies. Deportation policies and the end of DACA are causing families to be separated. It is unethical to forcibly separate children from their parents as part of immigration enforcement. Government policies should prioritize family reunification over harsh immigration enforcement.,"'Wait,  are you saying you agree that deporting illegals,  separating 'coyote patents' from their children, and end #Daca was on the money all the time?'",0.565054
1140430416006057985_0_11_9,1140430416006057985_0_11_9,32,1140430416006057985,separated,administration,"The Obama administration's policy caused children to be separated from their parents, treating them as if they were not real families. The administration's approach allowed illegal immigrants into the country, leading to the separation of children from their parents. Separating children from their parents is considered cruel and inhumane, especially when the parents are labeled as fake. The administration should stop separating children from their parents and ensure their safety through humane reunification with genuine family members.",'let me correct u ...we remember then OBAMA administration cruelly separated children from their FAKE PARENTS..the obamas administration's approach to immigration has allowed ILLEGALS into this country to allow them to murder the kids of americans ....lets talk about being cruel',0.57334787
1007599822755520512_1_4_6,1007599822755520512_1_4_6,32,1007599822755520512,tearing,children,Immigrant children are being violently separated from their parents. Authority figures are forcibly removing children from their families. Separating children from their parents is morally wrong and against compassionate values. Authorities should stop tearing children from their parents and reunite families immediately.,'Because trying to justify tearing immigrant children from their parents and putting them in cages or a Tent City in 100 degrees or more - goes against Christ’s teachings.',0.5739986
1088075303619039233_0_2_4,1088075303619039233_0_2_4,32,1088075303619039233,set,policy,These people have established a harmful policy separating migrant children from their parents. These people intentionally created a policy to separate families and detain children without reunification plans. It is immoral that these people would implement a policy causing family separation and child detention. These people should dismantle the policy and prioritize family reunification for migrant children.,'These people set a policy of separating migrant children from their parents and putting them in cages with no plans to reunite them.',0.5829556
1010538200748707840_1_14_16,1010538200748707840_1_14_16,32,1010538200748707840,killing,children,"The separation of families is a destructive force caused by the metaphorical 'killing' of American children. Illegals are allowing or causing harm to American children through their actions, metaphorically 'killing' them. It is immoral that illegals would metaphorically 'kill' American children and tear apart families. The metaphorical 'killing' of American children should be stopped by preventing the actions causing family separations.",'Leftist don’t care about the families that have been separated due to illegals killing American children.',0.59165764
1010245606911172608_0_4_2,1010245606911172608_0_4_2,32,1010245606911172608,trying,they,The practice of separating families is being defended using fear-based arguments. The attempt to use fear (by citing 'permanently separated families' killed by undocumented immigrants) is the cause of the problem. It is unethical to manipulate fear for political gain by fabricating or exaggerating harm caused by undocumented immigrants. Stop using fear tactics and address the root issues of family separation without exploiting tragic events for political purposes.,'So now they are trying to out horror their practice of separating families by trotting out “permanently separated families” —those killed *by undocumented immigrants?',0.5931913
1008102286126665731_1_3_0,1008102286126665731_1_3_0,32,1008102286126665731,have,You,"You are illegally separating children from their families, violating their rights. You claim a false right to forcibly remove children from their families. It is unethical to treat children as property that can be arbitrarily removed from their families. You should cease separating children from their families and respect their familial bonds.","'You don't have the right to tear children away from their families, end of story.'",0.6014766
1009149894093885440_2_19_22,1009149894093885440_2_19_22,32,1009149894093885440,seeking,life,Families are being separated because they are trying to improve their lives. The broken immigration system is preventing families from staying together while seeking a better life. It is unjust that families seeking a better life are being separated by a flawed system. The immigration system should be fixed to allow families to remain together while pursuing a better life.,"'But my actions are not the issue here, the issue at hand here is the separation of families seeking a better life, circulated around our broken immigration system.'",0.6028628
1007637599194898433_2_7_1,1007637599194898433_2_7_1,32,1007637599194898433,led,ruling,The separation of children from their families is a harmful consequence of the judicial ruling. The Obama Administration's judicial ruling directly caused the separation of children from their families. It is unethical for the Obama Administration to use judicial rulings that result in child separation. The Obama Administration should reverse its judicial rulings to prevent the separation of children from their families.,'Judicial ruling made under the Obama Administration led to the separation of children of these illegal immigrants.',0.6237386
1008102286126665731_1_3_5,1008102286126665731_1_3_5,32,1008102286126665731,have,right,The action of tearing children away from their families is an unauthorized intrusion. The person believes they possess a right that is not legitimately granted. It is wrong to act without legitimate authority over others' families. Stop acting as if you have the authority to separate children from their families.,"'You don't have the right to tear children away from their families, end of story.'",0.636133
1010245606911172608_0_14_19,1010245606911172608_0_14_19,32,1010245606911172608,trotting,families,The authorities are artificially emphasizing the separation of families to create fear. The practice of separating families is being exaggerated through forced public attention. It is insincere and manipulative to exploit family separation for political gain. The authorities should address the root causes of family separation rather than dramatize it.,'So now they are trying to out horror their practice of separating families by trotting out “permanently separated families” —those killed *by undocumented immigrants?',0.64103925
1008952154474901504_2_11_13,1008952154474901504_2_11_13,32,1008952154474901504,leave,families,"Families are being separated by an automatic system, which is harmful. The system's automatic process forces families apart without human oversight. It is unethical to separate families through an impersonal, automated system. The system should be modified to keep families together instead of automatically separating them.",'He was asking for the immigration fix etc but also to leave the families together BUT to not let them automatically go in 20 days like before as he knows they use the system this way.',0.6640435
1096211486681325568_1_8_9,1096211486681325568_1_8_9,32,1096211486681325568,tear,children,Separating children from their parents is causing harm. Flimsy excuses are being used to justify the separation of children from their parents. It is unethical to separate children from their parents using weak justifications. Stop using flimsy excuses and prevent the separation of children from their parents.,'You don't look for flimsy excuses to tear children away from their parents.',0.6863894
1010245606911172608_0_4_7,1010245606911172608_0_4_7,32,1010245606911172608,trying,horror,They are using fear tactics to defend their family separation policy. Their attempt to instill fear is based on exaggerated or manipulated horror stories. It is unethical to exploit fear and violence to justify family separation. They should abandon fear-based rhetoric and address the root causes of family separation.,'So now they are trying to out horror their practice of separating families by trotting out “permanently separated families” —those killed *by undocumented immigrants?',0.68929666
1008860398181703680_3_5_7,1008860398181703680_3_5_7,32,1008860398181703680,steal,children,"Children are being taken without consent, violating their rights. The action involves deliberately removing children from their families. It is wrong to take children without their families' permission. The children should be returned to their families or protected from being taken.",'And then you want to steal their children too.',0.69547445
1043983294767992833_1_6_3,1043983294767992833_1_6_3,32,1043983294767992833,take,he,"The government is removing benefits from citizens, causing family separation and fear. The administration's policies are taking benefits from families, leading to distrust and harm. It is immoral that the government would take benefits from families, causing fear and harm to children. The government should stop taking benefits from families to prevent harm and restore trust.","'So no, he can't take those benefits from them -- but frightened parents are disenrolling citizen children for fear of the harm Trump will do to the immigrant members of the family.'",0.6958549
1043983294767992833_1_6_8,1043983294767992833_1_6_8,32,1043983294767992833,take,benefits,"The benefits are being removed from citizens, causing harm to families with immigrant members. The Trump administration's policies are causing fear and leading to the removal of benefits. It is unethical to strip benefits from families, especially when it endangers children and immigrants. The benefits should remain with families to protect children from the harm caused by discriminatory policies.","'So no, he can't take those benefits from them -- but frightened parents are disenrolling citizen children for fear of the harm Trump will do to the immigrant members of the family.'",0.71477056
1081528209831874560_0_8_10,1081528209831874560_0_8_10,32,1081528209831874560,unite,parents,"Immigrant parents and children are separated, preventing family unity. The vetting process prioritizes security over family reunification. It is unethical to sacrifice family bonds for a flawed security approach. Authorities should prioritize reuniting immigrant families over rigid vetting protocols.","'They can’t seem to find &amp; unite immigrant parents &amp; kids, can’t keep kids alive, but somehow we’re to believe their terrorists vetting process has validity.'",0.71504843
1010284621089640448_0_3_1,1010284621089640448_0_3_1,32,1010284621089640448,seperated,guy,This person is physically or emotionally divided from their family or group. Policies or actions have intentionally or unintentionally caused this separation. It is harmful or unethical to separate individuals from their families or communities. This person should be reunited with their family or group as soon as possible.,'this guy is seperated.',0.721771
1009080607534657536_2_4_5,1009080607534657536_2_4_5,32,1009080607534657536,supported,migration,The breakdown of family structures is enabling large-scale movement of people. The end of family relationships is providing the means for migration to occur. It is unethical that the dissolution of family ties is being used to facilitate migration. Family structures should be preserved to prevent the conditions that enable migration.,'The end of family supported migration.',0.7558059
1081605381657219072_2_11_10,1081605381657219072_2_11_10,32,1081605381657219072,disappear,that,"Your children are being taken away as punishment for their behavior. You have treated your children poorly, leading to their disappearance. It is just that your children should disappear as punishment for your actions. Your children should be removed from your life to enforce accountability.",'All I can say is  I hope its your children that disappear this time seeing that is what you want.',0.8041864
1151201888202887168_1_4_1,1151201888202887168_1_4_1,32,1151201888202887168,sacrificed,families,The families have not given up personal gains for the nation's benefit. The families prioritize their own interests over the nation's needs. It is shameful that the families refuse to prioritize the nation's welfare. The families should give up personal benefits to support the nation's interests.,'Their families have not sacrificed for this great nation.',0.80633426
1008881095381745664_0_3_7,1008881095381745664_0_3_7,32,1008881095381745664,give,ass,"The families of the victims are being ignored or undervalued. ""Move on"" is not showing concern for these families. It is immoral that ""move on"" is neglecting the families of the victims. ""Move on"" should show concern or take action for the families of the victims.","'Does move on give a rat's ass about the families of the 45,000 Americans killed by illegals since 2001?'",0.8676482
1177374788513406977_0_29_28,1177374788513406977_0_29_28,32,1177374788513406977,suspend,girl,"The group is facing potential termination despite their efforts to help an immigrant girl. Their attempts to assist the girl have led to being targeted for termination. It is morally commendable that they chose to help the girl rather than prioritize institutional rules. The group should not be terminated for their actions, as their intent was to protect the girl.","'Bailey didn’t have to fire them, she’s done some crap too and she was forgiven...they were all trying to help a little immigrant girl suspend them but not fire them #GreysAnatomy'",0.87214905
1148668949720121344_1_4_8,1148668949720121344_1_4_8,32,1148668949720121344,used,Group,The family is exploiting #ChainMigration to spread pedophilic content. The family intentionally uses the hashtag as a tool to enable pedophiles. It is immoral for the family to weaponize the hashtag to facilitate exploitation. The family should stop using the hashtag and remove the pedophilic content.,'Then all her family used #ChainMigration   = Group of Pedophiles ~',0.88108623
1079576445842796545_1_20_23,1079576445842796545_1_20_23,33,1079576445842796545,kill,people,American people are experiencing a decline or demise due to harmful actions. Democrat's people are intentionally harming Americans through their policies. It is immoral that Democrat's people would cause the death or destruction of American citizens. Democrat's people should stop their harmful actions that are leading to the death of American people.,'Democrat's people all over the news they give many American's dollars to for their comfort rights while they kill off American people.',0.47451296
1021125753147207681_1_9_10,1021125753147207681_1_9_10,33,1021125753147207681,destroy,America,"There is an attempt to harm or undermine America through misguided actions. The people's actions are misguided, leading to unintended consequences that harm the Democratic Party instead of America. It is immoral to attempt to destroy America through harmful and misguided actions. The people should stop their destructive actions and avoid further harm to both America and the Democratic Party.",'The funny part is you people are trying to destroy America and all you're doing is destroying the Democratic Party',0.55087155
1079576445842796545_1_20_19,1079576445842796545_1_20_19,33,1079576445842796545,kill,they,The Democrat's actions are causing the decline or destruction of the American population. The Democrat's prioritization of giving money to others for their comfort rights is leading to the harm of American people. It is immoral that the Democrat's actions are causing the death or decline of American people. The Democrat's should stop giving money to others and instead protect the well-being of American people.,'Democrat's people all over the news they give many American's dollars to for their comfort rights while they kill off American people.',0.58071655
1021125753147207681_1_17_20,1021125753147207681_1_17_20,33,1021125753147207681,destroying,Party,"There is a misguided attempt to destroy America, which inadvertently harms the Democratic Party. The actions of 'you people' are causing both the intended destruction of America and the unintended destruction of the Democratic Party. It is hypocritical and harmful to destroy the Democratic Party while claiming to save America. Stop the actions that destroy both America and the Democratic Party, and focus on preserving America's integrity.",'The funny part is you people are trying to destroy America and all you're doing is destroying the Democratic Party',0.62648696
1087431549262487552_2_4_5,1087431549262487552_2_4_5,33,1087431549262487552,mean,nothing,American citizens' lives are considered worthless by the Democrats. The Democrats prioritize their own interests over the value of citizens' lives. It is morally wrong for the Democrats to disregard the lives of American citizens. The Democrats should recognize the inherent value of American citizens' lives in their policies.,'The American citizens lives mean nothing to the Democrats',0.6802074
1154671910141251584_0_14_15,1154671910141251584_0_14_15,33,1154671910141251584,put,Americans,"Americans are being placed in a dire, comparable situation to Venezuelans' current crisis. The individual's presidency enables them to force Americans into this harmful position. It is immoral to place Americans in a catastrophic situation akin to Venezuela's. The individual should not be allowed to become president to prevent putting Americans in this position.","'Fortunately you will never be president, so you won't be able to put Americans in the position of Venezuelans!'",0.75167537
1007626803907661824_0_49_51,1007626803907661824_0_49_51,33,1007626803907661824,WAKE,AMERICA,America is asleep to the dangers posed by the GOP's policies. The GOP's policies are not causing enough trauma to wake people up. It is immoral for America to remain asleep to the threats of authoritarian control. America must wake up and resist the GOP's plans for subjugation.,"'yes except the GOP Congress wants to terrorize / jail those at the border too, read their new draft of DACA immigration policy which trump will not sign because it is not TRAUMATIZING ENOUGH, he wants to terrorize ALL OF US INTO SUBMISSION like Kim/Putin WAKE UP AMERICA !!!!'",0.8238802
1007275772950827009_2_29_26,1007275772950827009_2_29_26,34,1007275772950827009,invaded,we,"Immigrants are infiltrating the country, treating it as an enemy territory. The border crisis has created a situation where the country is under siege by outsiders. It is unacceptable that leaders fail to respond to an existential threat to national security. Border Patrol should treat the situation as a military conflict requiring immediate defensive action.","'If Trump were really the demon you say he is, he'd do what SHOULD be done and order Border Patrol to act as if we were being invaded!'",0.58162844
980799502410854406_1_2_1,980799502410854406_1_2_1,34,980799502410854406,claim,they,The US is being accused of racism for prioritizing border security. The desire to protect the southern border is being interpreted as racist intent. It is unjust to label the US as racist for defending its borders. The US should continue protecting its borders and reject the false racist label.,"'But they claim the US as ""Racist"" for wanting to protect our southern border?'",0.6252039
1115348855145619456_0_3_0,1115348855145619456_0_3_0,34,1115348855145619456,Matter,It,A significant threat exists at the border that is being dismissed as unimportant. The huge danger at the border is being ignored due to a lack of urgency or responsibility. It is ethically wrong to dismiss a major threat to national security as trivial. Immediate assistance must be provided to address the critical danger at the border.,'It Doesn't Matter We Just Need Someone To Help Us With This Huge Danger Looming On Our Border.',0.64390975
