,cluster,polarity,target_group,target_ppto,target_word,source_image_schema_group,source_word,llm_expl,sentence
1030,12,left,Citizens,person,them,other,criminalized,"The verb 'criminalized' is used metaphorically to describe the societal or systemic labeling of 'them' (the youth) as criminals due to their drug use, rather than referring to a literal legal process of making them criminals. The metaphorical aspect lies in the application of the verb to represent the dehumanizing or stigmatizing effect of their actions, rather than a direct legal action.",'Our unemployment rate was horrible which led our youth going to drugs which criminalized them.'
1080,12,left,Citizens,person,Americans,other,put,"The verb 'put' is used metaphorically to describe the conceptual act of placing 'Americans' into a specific situational role ('the position of Venezuelans'), rather than referring to a physical action. This transcends its literal meaning of physically positioning an object, instead conveying a figurative comparison or metaphorical 'placement' in a conceptual space.","'Fortunately you will never be president, so you won't be able to put Americans in the position of Venezuelans!'"
1129,12,left,Citizens,person,we,other,supposed,"The verb 'supposed' is used metaphorically to convey an expectation or obligation rather than a physical action. It does not describe a tangible action performed by 'we' but instead refers to a normative standard or prescribed behavior, which is a conceptual metaphor.",'How much longer are we supposed to take it?'
1171,12,left,Citizens,person,you,other,volunteer,"The verb 'volunteer' is used metaphorically to characterize the target noun 'you' by implying a willingness to offer something (extra taxes) beyond the literal action. The source verb 'volunteer' typically refers to offering time or services, but here it is extended to financial contribution, transcending its original meaning through personification or conceptual equivalence.",'How much extra taxes would you volunteer to pay?'
1174,12,left,Citizens,person,Who,other,paying,"The verb 'paying' is used metaphorically to describe a responsibility or obligation rather than a literal physical action of transferring money. The target noun 'Who' refers to people, and the context implies assigning financial responsibility for the counties, not an actual act of paying money.","'Who is paying for them, the counties?'"
1182,12,left,Citizens,person,we,other,supposed,"The verb 'supposed' is used metaphorically to convey an expectation or obligation towards the target noun 'we'. It transcends its literal meaning of being 'expected to' by implying a normative duty or societal expectation, rather than describing a direct physical action.","'Are we supposed to disobey laws protecting 350,000,000 citizens over 2,000 kids temporarily separated from their parents?'"
1202,12,left,Citizens,person,We,other,need,"The verb 'need' is used metaphorically to convey that 'We' require or must have comprehensive immigration reform. It does not describe a physical action but rather expresses a necessity or demand, transcending its literal meaning of a tangible action.",'We need comprehensive immigration reform!'
1331,12,left,Citizens,person,WE,other,have,"The verb 'have' is used metaphorically to indicate causing an action ('have them shipped'), which transcends its literal meaning of physical possession. It represents a mental process of initiating or facilitating an action, rather than describing a tangible physical action involving 'WE'.",'Thinking if we drop the UN which does nothing but charges WE could then have them shipped to Europe instead of allowing them in.'
1402,12,left,Citizens,person,We,other,afford,"The verb 'afford' is used metaphorically to indicate the inability to bear the financial burden of allowing freeloaders, transcending its literal meaning of having enough money to pay for something. It personifies the taxpayers' capacity to support the freeloading behavior, implying a metaphorical 'cost' beyond physical action.",'We taxpayers can't afford them to be #Freeloaders in our country.'
1437,12,left,Citizens,person,YOU,other,CARE,"The verb 'CARE' is used metaphorically to describe the emotional concern or prioritization of attention towards 'them' over Americans. It transcends its literal meaning of physical care-taking to convey a metaphorical sense of prioritizing emotional investment or interest, without implying a direct physical action.",'HOW DARE YOU CARE MORE ABOUT THEM THAN AMERICANS.'
1438,12,left,Citizens,person,we,other,have,"The verb 'have' is used metaphorically to convey the idea of providing shelter or responsibility for the homeless, rather than describing a physical action. It transcends its literal meaning of possession to imply a social or institutional role in caring for others.",'Where we have homeless men and women and yes children.'
1443,12,left,Citizens,person,us,other,draining,"The verb 'draining' is used metaphorically to describe the act of depleting or exhausting 'us' (the target noun), rather than referring to a physical action of removing liquid. The context implies emotional or psychological depletion rather than a literal physical process.",'They are draining us when we have a Americans in need'
1483,12,left,Citizens,person,us,other,using,"The verb 'using' is applied metaphorically to the target noun 'us,' comparing 'us' to an ATM (a machine). This metaphor implies that 'us' is being exploited as a resource for financial extraction, transcending the literal physical action of using an object. The verb's application here personifies 'us' as a non-human entity (ATM) and conveys a conceptual analogy rather than a direct physical interaction.",'The illegals are already using us as an ATM to the tune of $113B per year.'
1634,12,left,Citizens,person,Americans,other,have,"The verb 'have' is used metaphorically in the phrasal verb 'have to', which conveys obligation or necessity rather than literal possession. Here, 'have to' signifies that Americans are compelled to do without, transcending the physical action of 'having' to describe a conceptual state of enforced scarcity.","'I am tired of #illegals coming into America and sapping the system dry, While Americans have to do without.'"
1642,12,left,Citizens,person,You,other,support,"The verb 'support' is used metaphorically to convey endorsing or backing a policy (deportation) rather than describing a physical action. It transcends its literal meaning of providing physical assistance, instead representing political or ideological endorsement.",'Senator Graham: You must support deportation 100%!'
1781,12,left,Citizens,person,I,other,have,"The verb 'have' is used metaphorically to describe the experience of an abstract emotion (shame) rather than a physical action. 'Have' here indicates possession of an intangible state, transcending its literal meaning of physically possessing an object.",'The times for which I personally have the most shame are those instances when I have taken out my anger at someone more powerful than me on someone less powerful than me.'
1827,12,left,Citizens,person,we,other,have,"The verb 'have' is used metaphorically to describe the abstract action of engaging in a conversation, transcending its literal meaning of possession. The phrase 'have a conversation' employs the verb in a phrasal construction that signifies participation in an interaction, not a physical action.","'When we shift to accurate descriptions *documented* immigrants receive benefits, then we can have a serious, factual conversation'"
1853,12,left,Citizens,person,We,other,have,"The verb 'have' is used metaphorically to conceptualize the abstract idea of 'a chance' as something that can be possessed. Literally, 'have' refers to physical possession, but here it extends to denote the abstract opportunity, which is not a tangible entity. This usage transcends the verb's original meaning to personify the target noun 'We' in the context of lacking opportunity.",'We didnt have a chance!'
1953,12,left,Citizens,person,you,other,freaking,"The verb 'freaking' is used metaphorically as an intensifier to emphasize the adjective 'bad'. It does not describe a physical action but conveys strong emotional judgment, transcending its literal meaning of 'to act wildly' to express heightened negativity.",'The compromise bill  is putting before you is really freaking bad.'
2104,12,left,Citizens,person,People,other,guaranteed,"The verb 'guaranteed' is used metaphorically to convey an abstract assurance of rights or entitlements rather than describing a physical action. It applies the conceptual idea of a guarantee (a commitment or promise) to the target noun 'People,' indicating a societal or legal commitment rather than a literal physical act.","'People are guaranteed equal opportunity, not equal outcomes.'"
2169,12,left,Citizens,person,people,other,failing,The verb 'failing' is used metaphorically to personify Congress as an entity capable of failing the American people. This transcends its literal meaning (which would imply a physical or tangible failure) and instead conveys an abstract conceptualization of Congress not fulfilling its responsibilities toward the people.,'Not one single person I talked to blames POTUS they say congress is failing the American people and immigrants !'
2190,12,left,Citizens,person,you,other,have,"The verb 'have' is used metaphorically in the idiom 'have it both ways,' which conveys a figurative meaning of trying to maintain two opposing positions simultaneously. This extends beyond the literal action of possessing something, representing a conceptual metaphor where 'have' signifies attempting to control or satisfy conflicting demands.",'Get your $#it together you can’t have it both ways.'
2200,12,left,Citizens,person,WE,other,HAVE,"The verb 'HAVE' is used metaphorically to express obligation rather than literal possession. In the phrase 'WE HAVE TO PAY', 'have' functions as part of the modal construction 'have to', which signifies necessity or obligation. This usage transcends the verb's literal meaning of possessing something, instead conveying a conceptual metaphor where the verb is employed to indicate a required action, not a physical action on the target noun 'WE'.",'What do YOU think will happen to our Healthcare system when WE HAVE TO PAY for government taking it over and giving it away to ILLEGALS?'
2393,12,left,Citizens,person,you,other,treat,"The verb 'treat' is used metaphorically to characterize 'working' as 'life blood,' implying that 'working' should be regarded as essential or vital to the state. This transcends the literal physical action of treating something, instead employing the verb to convey a metaphorical relationship between 'working' and its critical role, akin to lifeblood.","'How about you treat working, I repeat WORKING NYers like the life blood we are to this state and advocate tax relief for us?'"
2476,12,left,Citizens,person,People,other,SHOWING,"The verb 'SHOWING' is used metaphorically to depict an abstract concept (allegiance) rather than a physical action. It transcends its literal meaning of displaying something tangible by applying it to an intangible commitment, thus metaphorically representing the act of demonstrating loyalty.",'SHOWING allegiance to a foreign country rather than the very People who pay her salary!'
2488,12,left,Citizens,person,you,other,bitch,The verb 'bitch' is used metaphorically to characterize the target noun 'you' as engaging in the action of complaining or criticizing. The verb 'bitch' in this context does not describe a physical action but rather transcends its literal meaning (which refers to a female dog) to convey the abstract concept of expressing frustration or dissent. This usage aligns with metaphorical language where the verb is employed to describe an emotional or verbal action rather than a tangible physical act.,"'Congress has failed miserably at it’s job and you can bitch all day about these for profit detention centers, but they’re not going away until the migration issue has a solution both sides can accept.'"
2660,12,left,Citizens,person,kids,other,murder,"The verb 'murder' is used metaphorically to convey extreme harm or destruction to the 'kids' caused by the administration's policies. It transcends its literal meaning of physical killing to describe a metaphorical 'killing' of children's welfare or safety, implying severe negative impact without actual physical violence.",'let me correct u ...we remember then OBAMA administration cruelly separated children from their FAKE PARENTS..the obamas administration's approach to immigration has allowed ILLEGALS into this country to allow them to murder the kids of americans ....lets talk about being cruel'
2792,12,left,Citizens,person,US,other,fare,"The verb 'fare' is used metaphorically to describe how the US is treated or affected by trade deals, rather than referring to a physical action. It implies a conceptual relationship of fairness or outcome, transcending its literal meaning of 'how someone gets along' or 'price paid for transportation'.","'So your saying you want borders protected, illegal immigration, visa catch and release lottery etc stopped, child pedophiles locked in prison, supporting all these countries that wish America dead, HRC O Holder etc all held accountable for their crimes, trade deals to be fare US?'"
2866,12,left,Citizens,person,we,other,heard,"The verb 'heard' is used metaphorically to indicate that the group 'we' received information, which transcends its literal meaning of perceiving sound with the ears. Here, 'heard' refers to the conceptual action of receiving information, not a physical act of listening.","'""Much of what we heard has been full of malice and misinformation"" says angry Nancy Pelosi.'"
2906,12,left,Citizens,person,you,other,representing,"The verb 'representing' is used metaphorically here. It transcends its literal meaning of physically standing in for someone to imply that 'you' should be acting on behalf of the American people's interests or advocating for them. This usage does not describe a physical action but rather assigns a symbolic or functional role to 'you', which is a metaphorical extension of the verb's original meaning.",'Why aren't you representing the American people?'
2962,12,left,Citizens,person,us,other,stop,"The verb 'stop' is used metaphorically to describe the political establishment as an obstacle preventing 'us' from proceeding with certain actions (e.g., avoiding disastrous policies). This extends beyond its literal meaning of halting physical movement, instead implying a conceptual or figurative hindrance, personifying the group as an active force opposing 'us'.","'The political establishment that is trying to stop us is the same group responsible for our disastrous trade deals, massive illegal immigration and economic and foreign policies that have bled our country dry.'"
3038,12,left,Citizens,person,kids,other,live,"The verb 'live' is used metaphorically to describe the economic status of the kids, specifically their condition of living below the poverty line. This extends beyond the literal physical action of residing in a place, instead representing their socioeconomic situation.",'Costing us 35k a year for each one while kids that are  US citizens who are living below the 24k poverty live in worse conditions.'
3076,12,left,Citizens,person,we,other,hear,"The verb 'hear' is used metaphorically to convey the idea of being informed or exposed to information, rather than describing a physical act of listening to sound. It extends the original meaning of 'hear' to signify receiving messages or narratives about immigrants as criminals, which transcends the literal sensory action.","'Immigrants commit fewer crimes, yet constantly we hear about immigrants as criminals.'"
174,12,left,Legal and Asylum Terminology,thing,law,other,respect,"The verb 'respect' is used metaphorically to characterize 'law' by implying adherence to legal obligations rather than a physical action. 'Respect' here extends beyond its literal meaning of treating something with regard, instead conveying a duty or obligation towards the law, which is not a physical entity.",'You both do not respect federal law regarding illegal criminals.'
7,12,left,Other,thing,time,other,have,"The verb 'have' is used metaphorically to characterize 'time' in the phrase 'have a hard time.' Here, 'have' does not refer to literal possession of time but instead conveys the abstract concept of struggling or finding difficulty in performing an action (believing government stats). This extends beyond the verb's literal meaning of physical or abstract possession, employing a metaphorical framework to describe the cognitive or emotional effort involved.",'I have a hard time believing government stats in general.'
51,12,left,Undocumented Immigrants,person,people,other,have,"The verb 'have' is used metaphorically to convey the abstract concept of 'having regard for' (i.e., respecting or considering). While 'have' literally denotes possession, here it is part of the phrasal verb 'have regard for,' which metaphorically expresses an attitude of respect toward laws, transcending its physical action meaning.",'There are legal avenues however these people have no regards for our laws.'
197,12,right,Citizens,person,people,other,have,"The verb 'have' is used metaphorically as part of the phrasal verb 'have to,' which conveys obligation or necessity rather than literal possession. Here, it characterizes 'people' as being compelled to experience fear, transcending the physical action of holding or possessing something.",'That people have to fear the fucking census.'
403,12,right,Citizens,person,I,other,guess,"The verb 'guess' is used metaphorically to characterize the target noun 'I' by conveying uncertainty about the speaker's location. It represents a mental state of speculation rather than a physical action, transcending its literal meaning of making an educated guess.","'your in Texas I guess, but where I’m at in DC, I don’t have your issue.'"
620,12,right,Citizens,person,I,other,paying,"The verb 'paying' is used metaphorically to characterize the target noun 'I'. The phrase 'paying attention' employs the source verb 'paying' to describe a non-physical action of mental focus, transcending its literal financial meaning. Here, 'paying' metaphorically signifies active engagement or vigilance rather than a literal act of transferring money.",'I live in Indy and I vote and I will be paying attention to your actions on this issue.'
679,12,right,Citizens,person,We,other,need,"The verb 'need' is used metaphorically to characterize the target noun 'We' by expressing a necessity for an abstract concept ('proactive action') rather than a physical action. The verb transcends its literal meaning of requiring a tangible object or condition, instead conveying a conceptual demand.",'We need proactive action'
891,12,right,Citizens,person,We,other,ran,"The verb 'ran' is used metaphorically to characterize the target noun 'We' by implying the action of managing or operating the ads, which transcends its literal meaning of physical movement. The verb here describes a non-physical action (managing misleading ads) rather than a direct physical act.","'We easily ran blatantly misleading ads about hot-button political topics like immigration and gun control, and Facebook failed to catch them  #facebook'"
954,12,right,Citizens,person,us,other,Join,"The verb 'Join' is used metaphorically to characterize the target noun 'us' by inviting participation in a collective action (supporting the movement). It transcends the literal physical action of joining a group, instead implying conceptual inclusion in a cause, which is a metaphorical use of the verb.",'A citizenship question will: - Under-count undocumented communities &amp; people of color - Risk access to social services - Impact our representation &amp; people power  Join us today to say #CountMeIn!'
1091,12,right,Citizens,person,constituents,other,serve,"The verb 'serve' is used metaphorically to describe the abstract action of representing and acting in the best interests of 'constituents.' This transcends its literal meaning of preparing food or assisting physically, instead implying a duty or responsibility, which is a metaphorical personification of the constituents as entities needing service.","'Senators have a choice — Will they give in, or will they serve their constituents and stand up…'"
1118,12,right,Citizens,person,we,other,handle,"The verb 'handle' is used metaphorically to describe the abstract process of managing or addressing immigration, rather than referring to a physical action. It conveys the idea of dealing with a complex issue, transcending its literal meaning of physically handling an object.",'It’s time for us to really rethink how we handle immigration.'
1357,12,right,Citizens,person,we,other,fear,"The verb 'fear' is used metaphorically to describe the emotional state of 'we' regarding migration. It transcends its literal meaning of a physical reaction (e.g., trembling) to convey an abstract mental apprehension, personifying 'we' as entities capable of emotional response rather than describing a tangible action.",'Tragedy is inevitable if we fear migration rather than celebrate its benefits | Jonathan Portes'
1369,12,right,Citizens,person,we,other,need,"The verb 'need' is used metaphorically to characterize the target noun 'we' by implying a necessity for action (focusing time and energy) rather than describing a physical action. It transcends its literal meaning of requiring something tangible, instead conveying a conceptual necessity for the group 'we' to undertake specific measures.","'Instead of using money to secure our borders, we need to focus our time &amp; energy on changing our gun laws so we can protect our citizens from terrorism by another citizen.'"
1671,12,right,Citizens,person,they,other,support,"The verb 'support' is used metaphorically to describe the abstract act of endorsing or backing a political figure (Trump) and the GOP, rather than referring to a physical action. It characterizes 'they' (Americans) as actively endorsing a political stance, which transcends the literal meaning of 'support' (e.g., providing physical assistance).","'Trump/Miller administration is banking on the idea that Americans are so racist and biased against immigrants that they will ultimately support him and the GOP (who remain mute against ""zero tolerance"" policy) in spite of people saying they oppose what Trump is doing to children.'"
1674,12,right,Citizens,person,him,other,support,"The verb 'support' is used metaphorically to describe the abstract action of endorsing or backing a person's political stance, rather than referring to a physical action of providing sustenance or structural assistance. The metaphorical aspect lies in extending 'support' from its literal meaning (e.g., holding up physically) to signify ideological or political endorsement of 'him' and the GOP.","'Trump/Miller administration is banking on the idea that Americans are so racist and biased against immigrants that they will ultimately support him and the GOP (who remain mute against ""zero tolerance"" policy) in spite of people saying they oppose what Trump is doing to children.'"
1738,12,right,Citizens,person,them,other,starving,The verb 'starving' is used metaphorically to describe the economic deprivation and pressure applied to 'them' (the populations of 'red' regions) to encourage migration. It does not refer to a literal physical action of causing hunger but instead employs the concept of starvation as a metaphor for systemic economic hardship that compels people to leave their regions.,"'A lot of liberal thinkers seem to be of the opinion that vast “red” regions of the county are economically doomed, and we must hurry the migration of their populations to bluer cities by, in effect, starving them out.'"
2010,12,right,Citizens,person,him,other,freak,"The verb 'freak' is used metaphorically to describe causing someone (him) to experience fear or anxiety, rather than referring to a physical action. The phrase 'freak him out' is an idiom representing the emotional impact of scaring or overwhelming someone, not a literal physical movement.",'We would hate to freak him out.'
2086,12,right,Citizens,person,We,other,have,"The verb 'have' is used metaphorically to describe the existence of a condition ('immigration shortage') rather than literal possession. It transcends its physical action meaning to indicate that 'We' are experiencing or facing a shortage, which is a metaphorical characterization of the target noun 'We'.",'We have a immigration shortage.'
2289,12,right,Citizens,person,everybody,other,uses,"The verb 'uses' is employed metaphorically to depict 'everybody' as a tool, transcending its literal meaning of physically employing an object. Here, 'uses' represents the abstract concept of manipulating people for political purposes, personifying 'everybody' as an instrument, which is a metaphorical extension rather than a literal action.",'Trump uses everybody and everything as a political tool!'
2597,12,right,Citizens,person,she,other,supports,"The verb 'supports' is used metaphorically to describe the abstract concept of providing emotional or financial assistance to her children, rather than referring to a physical action of holding up or bearing weight. The metaphorical aspect lies in the extension of 'supports' beyond its literal physical meaning to convey care and sustenance.","'Ann' says she ""sleeps just fine because she supports her children"", regarding what's going on at the border.'"
2601,12,right,Citizens,person,she,other,sleeps,"The verb 'sleeps' is used metaphorically to characterize 'she' by implying a state of peace or rest, not the physical act of sleeping. The context suggests that supporting her children provides her with a sense of security or ease, which is metaphorically described as 'sleeping just fine' rather than a literal physical action.","'Ann' says she ""sleeps just fine because she supports her children"", regarding what's going on at the border.'"
2890,12,right,Citizens,person,those,other,satiate,"The verb 'satiate' is used metaphorically to describe the action of satisfying the desires or needs of 'those'. While 'satiate' literally means to satisfy completely (e.g., 'satiate hunger'), its application to 'those' (a group of people) transcends a physical action, implying a conceptual or emotional fulfillment rather than a direct physical process.","'We need genuine, comprehensive immigration reform and NOT just a vanity project to satiate those willing to believe whatever lie he spews.'"
2905,12,right,Citizens,person,We,other,need,"The verb 'need' is used metaphorically to convey a necessity or requirement, abstractly characterizing the target noun 'We' as requiring a specific action (immigration reform). This transcends a literal physical action, instead expressing an intangible demand or obligation.","'We need genuine, comprehensive immigration reform and NOT just a vanity project to satiate those willing to believe whatever lie he spews.'"
2968,12,right,Citizens,person,American,other,marry,"The verb 'marry' is used metaphorically to describe an association or relationship with the target noun 'American', transcending its literal meaning of uniting two people in marriage. Here, 'marry' implies a non-physical, abstract connection or intention toward the nationality 'American', rather than a literal marital action.",'You won't even marry an American.'
3064,12,right,Citizens,person,us,other,do,"The verb 'do' is used metaphorically in the phrase 'do us a favor,' where it does not describe a physical action but rather conveys the abstract concept of performing a helpful action. This usage transcends the literal meaning of 'do' as a physical action, aligning with the metaphorical idiom 'do someone a favor' to signify assistance.","'Can you do us, the world and I'm almost positive, your kids a favor and just have a coronary?'"
0,13,left,Anti-Immigration Sentiment,thing,aid,force,shut,"The verb 'shut' is used metaphorically to describe stopping the flow of aid, which is an abstract concept rather than a physical action. 'Shut' typically refers to closing something tangible (e.g., a door, a valve), but here it is applied to 'aid' to signify discontinuing support, transcending its literal meaning through personification or conceptual metaphor.",'And shut off all aid to those countries allowing and abetting this illegality.'
13,13,left,Anti-Immigration Sentiment,thing,immigration,force,shut,"The verb 'shut' is used metaphorically to describe the cessation of immigration, treating the abstract concept of immigration as if it were a physical entity that can be closed or turned off. This extends beyond its literal meaning of physically closing something, applying the action to a process rather than a tangible object.",'Time to close our southern border and shut off all immigration until they get the message ....'come here legally or don't come at all'.'
965,13,left,Border Control and Security,thing,stop,other,put,"The verb 'put' is used metaphorically to signify the action of stopping or halting something (illegal immigration, etc.), rather than describing a physical act of placing an object. The phrase 'put a stop to' is an idiomatic expression that conveys an abstract conceptual action, not a literal physical placement of the target noun 'stop'.","'President Trump is right on this issue , we must secure our southern border and put a stop to illegal immigration, drug trafficking, and Muslim Terrorists making their way up into the country to cause us harm .'"
1429,13,left,Border Control and Security,thing,flow,other,stop,"The verb 'stop' is used metaphorically to describe halting the metaphorical 'flow' of illegal voters. While 'flow' typically refers to a physical movement of liquids, here it is applied to the movement of people, and 'stop' transcends its literal action of physically halting motion to signify preventing the metaphorical progression of voters.",'It would be political suicide if the help stop the flow of illegal voters..'
1442,13,left,Border Control and Security,thing,Closed,other,Keep,"The verb 'keep' is used metaphorically to describe maintaining the border in a closed state, attributing a physical action to an abstract concept (the border as a boundary). The phrasing 'keep closed' transcends literal physical action, implying control or restriction of movement across the border, rather than directly describing a tangible act of closing.",'Keep Entire Border Closed For National Security...'
2868,13,left,Countries of Origin,place,they,spatial motion,stay,"The verb 'stay' is used metaphorically to describe the state of 'they' after stopping corruption. It does not refer to a physical action of remaining in a place but instead signifies a continued existence or state without corruption, transcending its literal meaning.",'stop the corruption in those countries and they will stay.'
872,13,left,Courts,organization,Courts,force,shutdown,"The verb 'shutdown' is used metaphorically to describe the cessation of the Immigration Courts' operations. While 'shutdown' literally refers to stopping a machine or system, here it is applied to an abstract institution (courts) to convey the idea of halting their functional activities, transcending its physical action.",'Then why did this guy shutdown the Immigration Courts for 35 days?'
958,13,left,Criminal Justice and Enforcement,thing,crime,other,stop,"The verb 'stop' is used metaphorically to describe preventing the occurrence of crime, which is an abstract concept rather than a physical action. The verb transcends its literal meaning of halting movement to signify ceasing the commission of crimes, reflecting a conceptual metaphor rather than a literal physical action.","'.  ""Happy to receive slings &amp; arrows"" - on   Americans elected   to build a wall, STOP the drugs, illegal immigration and stop the crime, etc.'"
361,13,left,Economic Impact,thing,conditions,other,Stop,"The verb 'Stop' is used metaphorically here to suggest halting or preventing the progression of 'conditions,' implying an action that transcends its literal meaning of physically stopping. The phrasing 'Stop owning what' appears to personify or metaphorically command an action related to the conditions, rather than describing a direct physical action.","'It is because Pres Trump improves the pre existing conditions Stop owning what Our God’s gift to America Pres Trump improves medical, economy etc.'"
1421,13,left,Immigrants,person,you,other,stop,"The verb 'stop' is used metaphorically to describe the action of preventing 'you' from proceeding with an action (likely harmful or undesirable), rather than referring to a physical halt. The metaphorical aspect lies in the conceptualization of 'stopping' as an intervention to halt a process or behavior, not a literal physical action.",'Thank God for  to stop you.'
245,13,left,Immigration Policy,thing,holes,force,close,"The verb 'close' is used metaphorically to describe the conceptual action of eliminating loopholes (abstract gaps in systems or policies), rather than referring to a physical action of sealing a literal hole. The metaphorical use transcends the verb's original meaning of physically closing an opening.",'Work to close the loop holes and ditch the bumper sticker slogans  #closetheloopholes #ditchtheslogans'
2553,13,left,Job Magnet Destinations,place,MAGNET,other,continues,"The verb 'continues' is used metaphorically to describe the target noun 'MAGNET' as a metaphor for a job that attracts individuals (illegals). The verb transcends its literal meaning of persisting in a physical action, instead extending the metaphor of a magnet's attraction to imply the ongoing draw of the job, personifying the target noun as an active entity.","'He PROMISED to sign EO making E-verify MANDATORY so illegals could not work here,he lied, Job MAGNET continues'"
1148,13,left,Mexico,place,Mexico,other,stops,"The verb 'stops' is used metaphorically to describe Mexico's cessation of a behavioral state (being a collaborator), attributing a human action to a country. This personification of a nation as an entity capable of stopping an abstract action (collaboration) transcends its literal physical meaning.",'Place a 25% fee on all remittances going to Mexico untill Mexico stops being a willing collaborator with human trafficking into the USA.'
290,13,left,Political Figures,person,him,force,shut,"The verb 'shut' is used metaphorically to describe the action of stopping or silencing 'him,' which transcends its literal meaning of closing a physical object. The metaphorical use implies halting his activities or preventing him from functioning, rather than a literal physical action.",'While the other side is doing everything possible to shut him down.'
2544,13,left,Politicians,person,u,force,hold,"The verb 'hold' is used metaphorically to convey exerting control or pressure rather than a physical action. The phrase 'hold em down' in this context implies maintaining dominance or restraint over politicians, not a literal physical act of holding.",'Politicians screw citizens &amp; play their damn victim game... ok u hold em down.'
2143,13,left,Public Opinion and Media Coverage,thing,media,force,stopped,"The verb 'stopped' is used metaphorically to indicate that the media should cease their action of exploiting, transcending the literal physical action of stopping. It attributes a human-like cessation of activity to an abstract entity (media), representing a metaphorical 'stopping' of a process rather than a physical movement.",'It's time the media stopped exploiting the migrant father &amp; daughter who drowned in Rio Grande - coming up with every excuse possible for his crossing.'
988,13,left,U.S. Borders,place,border,force,shutdown,"The verb 'shutdown' is applied to the abstract concept of a 'border,' which is not a physical system that can be literally stopped. Instead, it metaphorically conveys the idea of closing or restricting the border's function, personifying the border as an entity that can be 'shut down' to imply policy enforcement, rather than describing a tangible physical action.",'#potus should shutdown the southern border and make the illegals go back  to their own country and wait to be called.'
1954,13,left,U.S. Borders,place,Border,force,Shut,"The verb 'Shut' is used metaphorically to describe the enforcement or closure of the border through policy measures, rather than a literal physical action. The context implies a metaphorical 'shutting down' of the border's functionality, such as restricting movement, rather than a literal act of closing it.","'President Trump Backs Off Threat To Shut Down Southern Border – Gives Mexico “One-Year Warning” To Stop Flow Of Drugs, Migrants (Video) - Tea Party News'"
2,13,left,U.S. Government,organization,government,force,stopped,"The verb 'stopped' is used metaphorically to personify the government, implying it can perform an action (stopping the flow of illegals) that is not a physical action. The government, as an abstract entity, cannot literally 'stop' something; the verb is applied to describe a conceptual or policy-based action, transcending its original physical meaning.",'Trump to Shut down the Border until Mexico STOPS Flow of Illegals heading North POTUS threatened to close the Mexican border or parts of it if Mexico next week unless Mexico's government immediately stopped...'
2688,13,left,U.S. Government,organization,government,force,shut,"The verb 'shut' is used metaphorically to describe the government's cessation of operations. While 'shut' literally refers to closing physical entities, here it is applied to an abstract concept (government) to signify a metaphorical 'shutdown' of its functions, transcending its physical action definition.",'She is focused on only one question--will the government shut down?'
2413,13,left,United Nations,organization,UnitedNations,force,hold,"The verb 'hold' is used metaphorically to convey the idea of 'being responsible for' or 'enforcing accountability' rather than describing a physical action. The United Nations does not literally grip or support the Honduras government physically, but the verb signifies a conceptual responsibility or obligation to hold the government accountable in a non-physical sense.",'The UnitedNations could hold Honduras gvmt accountable.'
235,13,right,Anti-Immigration Sentiment,thing,silence,force,protect,"The verb 'protect' is applied to the abstract noun 'silence,' which cannot perform a physical protective action. The metaphorical use of 'protect' implies that silence is being characterized as a shield or barrier against harm, transcending its literal meaning of physically shielding someone from danger.","'As Audre Lorde taught us, “Your silence will not protect you.”'"
689,13,right,Border Control and Security,thing,mile,other,stop,"The verb 'stop' is used metaphorically to describe the intended effect of the wall on the inflow of drugs and immigrants. Literally, 'stop' would imply a physical cessation of movement, but in this context, it refers to the wall's supposed ability to prevent or hinder the flow, which is not a physical action but a conceptual function.",'So when this 750 mile or so wall doesn’t stop the the inflow of drugs and illegal immigrants coming in from other boarders what will the excuse be?'
1985,13,right,Border Control and Security,thing,walls,other,stop,"The verb 'stop' is used metaphorically to describe the walls' intended function of preventing immigration and drug trafficking. While walls can physically block movement, the verb here extends beyond literal action to convey the abstract idea of hindering or preventing these activities, which is a metaphorical use of the verb.",'People who think gun laws won't stop gun crime think metal walls will stop immigration and drug trafficking and that is a level of imperviousness to cognitive dissonance that I can't comprehend.'
1988,13,right,Border Control and Security,thing,crime,other,stop,"The verb 'stop' is used metaphorically to describe the prevention of an abstract action ('crime') rather than a physical movement. The metaphorical aspect lies in applying the source verb's conceptual meaning of halting an ongoing process to a non-physical target, implying the cessation of criminal activity through laws, which transcends its literal physical action.",'People who think gun laws won't stop gun crime think metal walls will stop immigration and drug trafficking and that is a level of imperviousness to cognitive dissonance that I can't comprehend.'
1138,13,right,Courts,organization,Courts,force,stopped,"The verb 'stopped' is used metaphorically here. While 'stopped' typically describes a physical action of halting movement, it is applied to 'Courts' (an abstract institution) to indicate their legal action of halting a deportation order. This transcends the literal meaning of the verb, as courts do not physically stop orders but rather act through legal processes, attributing a human-like action to an abstract entity.",'1) Trump summarily kicked millions of immigrants with legal protection out of US  2) Courts stopped that cruel order  3) New Trump Offer: not try to deport them again for 3 years if we give him $5.7 billion  4)'
