,cluster,target_group,source_image_schema_group,source_word,target_word,llm_expl,tweet
971371544197857280_0_31_29,82,Border Control and Security,other,keep,ice,"The verb 'keep' is used metaphorically to describe the ongoing state of 'ice' losing a battle, extending beyond its literal meaning of physically holding onto something. Here, 'keep' conveys the continuous action of maintaining a losing situation, implying a metaphorical struggle rather than a physical action.","'When the fuck are they going after that traitor MAYOR, she must be in chains asap, enuf with her shit she has caused too much bs for ice to keep losing the battle on illegals, lock her up 2 for 10 yrs make her pay no pension or benefits as well screw her like she screwed the USA!'"
1167107723298820096_2_1_0,82,Citizens,other,keep,Patriots,"The verb 'keep' is used metaphorically to describe the Patriots' ongoing effort or persistence in fighting. It does not refer to a physical action of holding or maintaining something tangible but instead conveys the idea of continuous action or determination, transcending its literal meaning.",'Patriots keep fighting.'
1001616686687096832_0_9_11,82,Criminal Justice and Enforcement,balance,keeping,beds,"The verb 'keeping' is used metaphorically to describe the action of maintaining beds filled as a way to represent the act of keeping immigrants in beds beyond necessity. The source verb 'keeping' transcends its literal meaning of sustaining a physical state (e.g., keeping a room clean) and is applied to a conceptual process involving people, thereby implying a metaphorical extension.","'the occupancy of those beds, that would trigger keeping those beds filled, aka keeping immigrants beyond necessary.'"
1001616686687096832_0_15_16,82,Immigrants,balance,keeping,immigrants,"The verb 'keeping' is used metaphorically to describe the action of maintaining immigrants in a state beyond necessity, transcending its literal meaning of physically holding or preserving something. Here, 'keeping' implies a conceptual or administrative action rather than a direct physical act, personifying the target noun 'immigrants' in the context of occupancy and policy.","'the occupancy of those beds, that would trigger keeping those beds filled, aka keeping immigrants beyond necessary.'"
1079409138403368961_2_11_12,82,Immigrants,other,keep,them,"The verb 'keep' is used metaphorically to describe maintaining a state of exclusion ('them out') rather than a physical action. The phrase 'keep them out' represents a conceptual metaphor for preventing entry or maintaining separation, which transcends the literal meaning of 'keep' as a physical action of holding or maintaining an object.",'Now compare that to the $5B it will cost to keep them out.'
1048655245688102913_5_2_3,82,Law Enforcement Agencies,other,keep,you,"The verb 'keep' is used metaphorically to indicate the capacity of the subject (implied as a weapon) to maintain the state of safety for 'you'. The verb transcends its literal meaning of physically holding or retaining something, instead conveying a functional role of protection, which is a metaphorical extension of the source verb.",'Only  will keep you &amp; your family safe!'
1009894242947301376_0_41_42,82,National Security vs. Humanitarian Concerns,other,keep,things,"The verb 'keep' is used metaphorically to describe maintaining the state of 'things' beyond a literal physical action. The phrase 'keep things intact' implies preserving their condition or integrity, which transcends the literal meaning of 'keep' as a physical action, instead conveying a conceptual maintenance of stability or undisturbed state.","'The 'establishment' who are invested in the military, the prison system, logistics, immigration and detention, Wall Street, embassies, weapons makers, security...depend on keeping people like Bernie and Trump out to keep things intact.'"
1165121960273174528_1_24_25,82,Other,balance,keeping,states,"The verb 'keeping' is used metaphorically to describe the abstract concept of maintaining 'states' in a condition of freedom from abuse. It transcends its literal physical action (e.g., holding something in place) by applying the verb to a political entity, implying a non-physical, conceptual preservation of states' autonomy.","'No state should have to be burdened w/ illegals,  they all need to go, &amp; save our country 100% by keeping states free from this abuse.'"
1165121960273174528_0_17_18,82,Other,other,keep,states,"The verb 'keep' is used metaphorically to describe maintaining a state of being 'RED and safe' for 'states,' which are abstract political entities. The verb transcends its literal physical action of holding onto an object and instead conveys a conceptual preservation of a condition, indicating metaphorical use.","'Please do this, force #Illegals to be easily found, and then deported, and keep states #RED and safe.'"
1118726351983222784_0_19_21,82,Pro-Trump Policies,other,keep,promises,"The verb 'keep' is used metaphorically to describe maintaining a commitment or obligation (fulfilling promises), which transcends its literal meaning of holding something physical. The action of 'keeping' promises involves abstract adherence to commitments, not a physical action.","'STAY CALM MAGA---For those of you afraid to tell Trump to quit supporting higher legal immigration and keep his promises, don't worry!'"
1061823967340695553_1_8_10,83,Anti-Immigration Sentiment,force,breaks,heart,"The verb 'breaks' is used metaphorically to describe the emotional impact on the 'heart.' Literally, 'breaks' refers to physical damage to the heart organ, but in this context, it conveys emotional pain or distress, transcending its physical meaning to signify a metaphorical 'breaking' of the heart as a symbol of deep sadness or anguish.",'This is sick and twisted...and truly breaks my heart.'
1137475253284696064_1_18_17,83,Anti-Immigration Sentiment,force,broke,GO,"The verb 'broke' is used metaphorically to describe the government's inability to afford or handle financial obligations (paying welfare). 'Broke' here does not refer to a physical action of breaking but rather signifies financial insolvency, which is a metaphorical extension of the verb's original meaning.",'We have to drop them off in sancturary cities who vouch safe for illegals  THE GOV WONT GO broke paying illegals welfare so states better BUDGET for influx of applicants'
1137089715344035840_1_5_7,83,Anti-Immigration Sentiment,force,break,law,"The verb 'break' is used metaphorically to describe the act of violating the law. While 'break' typically denotes a physical action, here it is applied to an abstract concept ('law') to signify transgression, transcending its literal meaning through personification or figurative representation.","'They'll bend rules, break the law, bribe, manipulate, and brainwash illegals, immigrants, and minorities to secure their vote.'"
982022972071440384_0_7_8,83,Anti-Immigration Sentiment,force,broke,Laws,"The verb 'broke' is used metaphorically to describe the violation of laws, transcending its literal physical action. 'Broke' here signifies the transgression of legal rules, not the actual physical breaking of tangible objects. Laws are abstract concepts, and the metaphorical use of 'broke' conveys their violation rather than a literal action.","'They are illegals not undocumented,they broke Laws first when crossed Boarder!'"
1079427116028944385_0_2_1,83,Anti-Immigration Sentiment,force,breaks,hell,"The verb 'breaks' is used metaphorically to describe 'hell' as a force that causes chaos. Literally, 'breaks' refers to physical fragmentation, but here it personifies 'hell' as an entity capable of initiating turmoil, transcending its physical meaning to convey abstract disorder.",'All hell breaks loose on Fox News when host bucks Trump and says Dems are not killing migrant kids at the border'
1022524423088349184_0_18_20,83,Legal and Asylum Terminology,force,break,laws,"The verb 'break' is used metaphorically to describe the violation of laws, which is not a physical action. 'Break' here signifies transgression or disobedience, transcending its literal meaning of causing physical fracture.",'An illegal immigrant wouldn't be caught in California with #PlasticStraws because they don't want to break any laws.'
1147662494187610113_2_9_11,83,Legal and Asylum Terminology,force,BREAKING,LAW,"The verb 'BREAKING' is used metaphorically to describe the violation of the abstract concept of 'LAW'. The action of 'breaking' a law does not involve a physical action but instead signifies transgressing a societal rule, which is a metaphorical extension of the verb's original meaning.","'I hope you get kicked OUT of office for BREAKING THE LAW, just like !!'"
1025436601739096069_2_6_8,83,Legal and Asylum Terminology,force,break,laws,"The verb 'break' is used metaphorically to describe the violation of laws, which is not a physical action. Breaking laws refers to transgressing legal rules, not the literal fracturing of a physical object. The source verb 'break' extends beyond its literal meaning to convey the abstract concept of violating regulations.",'Remember ACLU is helping ILLEGAL Aliens break American laws'
1152028936605319169_2_7_9,83,Legal and Asylum Terminology,force,broke,law,"The verb 'broke' is used metaphorically to indicate the violation of a legal rule, which is not a physical action. The source verb 'break' transcends its literal meaning (e.g., breaking an object) to signify legal transgression, a conceptual metaphor where the abstract concept of a law is 'broken' through human action.","'Also, by definition, illegal immigrants broke the law by entering illegal.'"
1076723580099051520_1_2_4,83,Legal and Asylum Terminology,force,broke,law,"The verb 'broke' is used metaphorically to describe the violation of an abstract concept ('law'), transcending its literal meaning of physically breaking an object. Here, 'broke' conveys the idea of transgressing or violating the law, which does not involve a physical action.",'Those employers broke the law.'
1150385085696434177_0_2_5,83,Legal and Asylum Terminology,force,break,law,"The verb 'break' is used metaphorically to describe the violation of a law, which is not a physical action. The source verb 'break' transcends its literal meaning of fracturing a physical object to signify the act of violating a legal rule, thereby personifying the law as something that can be 'broken'.",'If you break an Immigration law you are illegal'
1142596609600917504_1_1_3,83,Legal and Asylum Terminology,force,BROKE,LAW,"The verb 'BROKE' is used metaphorically to describe the violation of the abstract concept of 'LAW'. Literally, 'broke' refers to a physical action of breaking something, but here it signifies the transgression of a rule or regulation, which is an abstract action. The metaphorical use extends the verb's meaning beyond its physical connotation to represent legal disobedience.",'ILLEGALS BROKE THE LAW FORCING THEIR WAY IN.'
1008694595272650752_0_21_23,83,Legal and Asylum Terminology,force,breaking,law,"The verb 'breaking' is used metaphorically to describe the violation of a law, transcending its literal physical action. 'Breaking' here signifies transgressing a legal rule, not a tangible object, thus employing metaphorical extension rather than literal action.",'There are no shortage of legal methods close to home for families to apply for asylum without breaking in line and breaking the law.'
1088114496885919747_0_4_5,84,Anti-Immigration Sentiment,spatial motion,kicked,millions,"The verb 'kicked' is used metaphorically to describe the act of forcibly removing 'millions of immigrants' from the US. Literally, 'kicked' refers to striking someone with the foot, but in this context, it signifies a forceful, abrupt deportation action, transcending its physical meaning to convey the idea of expelling individuals.",'1) Trump summarily kicked millions of immigrants with legal protection out of US  2) Courts stopped that cruel order  3) New Trump Offer: not try to deport them again for 3 years if we give him $5.7 billion  4)'
1156395377349877761_0_23_24,84,Citizens,spatial motion,kick,you,"The verb 'kick' is used metaphorically to personify the policy or system (implied as an active agent) that removes individuals from their private health insurance. The action described transcends a physical kick, instead representing a consequence of the policy, akin to 'kicking someone off' a plan in a non-literal, abstract sense.","'Tonight we heard zero ideas how to keep this booming economy growing  We heard the same old failed big government socialism that would kick you off your private health insurance, while giving it to illegal immigrants who step a foot across the border they would decriminalize'"
1147662494187610113_2_4_2,84,Immigrants,spatial motion,kicked,you,"The verb 'kicked' is used metaphorically to describe the action of being removed from office due to breaking the law. While the literal meaning of 'kicked' involves a physical action, here it is employed to signify a metaphorical removal, transcending its original meaning to convey a consequence of the target noun's actions.","'I hope you get kicked OUT of office for BREAKING THE LAW, just like !!'"
1131722600927903744_1_6_4,84,Other,spatial motion,kick,wan,"The verb 'kick' is used metaphorically to describe the action of ejecting or removing 'Chi' from Illinois. This transcends the literal physical act of kicking and instead signifies a metaphorical 'kick out,' which implies forcing someone to leave, aligning with the idiom 'kick someone out.'","'But if y’all really wanna kick Chi out of Illinois, we’re happy to send 2 more democrats to the US Senate 💁🏻‍♂️'"
1131722600927903744_1_6_7,84,Other,spatial motion,kick,Chi,"The verb 'kick' is used metaphorically to represent the action of removing 'Chi' from Illinois through political means, rather than describing a literal physical action. The phrase 'kick out' here signifies ejecting or expelling someone from a place, which transcends the literal meaning of the verb.","'But if y’all really wanna kick Chi out of Illinois, we’re happy to send 2 more democrats to the US Senate 💁🏻‍♂️'"
1092999181650804737_1_4_7,84,Undocumented Immigrants,spatial motion,kick,illegals,"The verb 'kick' is used metaphorically to represent the act of forcefully expelling or removing 'illegals' from a location, transcending its literal physical action. The phrase 'kick out' here conveys a punitive or harsh metaphorical action rather than a literal physical kick.",'Save the babies and kick out the illegals?'
1009877067708751872_0_16_17,84,Undocumented Immigrants,spatial motion,kick,him,"The verb 'kick' is used metaphorically to represent the action of expelling 'him' from a place or situation, transcending its literal meaning of physical contact. The phrase 'kick him out' is an idiom where 'kick' signifies removal rather than a direct physical action.",'David you are right to believe but we need to prosecute the bombin the WH and kick him out He be listed as ineligible immigrant to darken our borders or we’ll put him in a cage Oh yes Session too Bible and all Never giv Up I’m with u !'
1057109548656259074_0_2_7,84,Undocumented Immigrants,spatial motion,kick,aliens,"The verb 'kick' is used metaphorically to represent the action of expelling or removing aliens, rather than describing a physical act of kicking. The phrase 'kick out' here conveys the conceptual idea of forcibly removing individuals, which transcends the literal physical action of the verb.",'If we kick out the 22 illegal aliens the money we would save could easily help homeless vets and Americans.'
1057370241876008967_1_11_12,84,Undocumented Immigrants,spatial motion,kick,them,"The verb 'kick' is used metaphorically to signify the act of expelling or removing 'them' from a situation, rather than describing a literal physical action. The phrase 'kick them out' here represents a conceptual metaphor for swift removal, commonly used in contexts like immigration to denote deportation, not a literal kicking action.","'Trump dismantled Obamas Immigration Courts to process these people intermediately and kick them out next day  Now they know the process will take months(few judges) and they'll get free food, accommodations and entertainment.'"
1041086034430382082_0_14_15,85,Anti-Immigration Sentiment,balance,contributed,something,"The verb 'contributed' is used metaphorically to describe an abstract action of adding value to the world, rather than a literal physical contribution. The target noun 'something' represents an abstract positive impact, and the verb transcends its literal meaning to convey a metaphorical act of making a beneficial contribution.",'Isn’t it long past time Slovakia gave up being a mafia state and contributed something positive to this world (besides wonderful immigrants)?'
1122847470017490944_1_2_5,85,Immigrants: General,force,weaponized,people,"The verb 'weaponized' is used metaphorically to describe 'people' as tools or instruments being employed in a strategic manner, analogous to how a weapon is used. This transcends its literal meaning of equipping something with a weapon, instead implying that people are being mobilized as agents of attack, reflecting a metaphorical extension of the source verb.","'Caravans have weaponized Honduran poor people and are using them to target and attack America's immigration system, wealth and social programs.'"
1122847470017490944_1_2_0,85,Immigrants: General population of people who have migrated,force,weaponized,Caravans,"The verb 'weaponized' is used metaphorically to describe Caravans as strategically employing Honduran poor people as tools for political or social attack, transcending its literal meaning of equipping with physical weapons. This metaphor personifies Caravans as actors capable of weaponizing human groups, implying their use as instruments of harm rather than describing a physical action.","'Caravans have weaponized Honduran poor people and are using them to target and attack America's immigration system, wealth and social programs.'"
1016017656271421440_2_22_23,85,Immigration Reform Advocates,other,enrich,yourselves,"The verb 'enrich' is used metaphorically to describe the act of gaining advantage or benefit (likely financial or social) from a situation, rather than describing a physical action. The metaphorical aspect lies in implying that 'yourselves' are being made 'richer' through actions that prioritize certain policies, transcending the literal meaning of adding value to a tangible entity.","'You support open borders, illegals over American citizens &amp; millions of kids that are living in abject poverty while you enrich yourselves.'"
1016017656271421440_2_22_21,85,Immigration Reform Advocates,other,enrich,you,"The verb 'enrich' is used metaphorically to describe the act of gaining wealth or benefit, which is not a physical action. The target noun 'you' is being characterized as accumulating wealth or advantages, transcending the literal meaning of the verb which would imply adding value to a tangible or intangible entity in a physical sense.","'You support open borders, illegals over American citizens &amp; millions of kids that are living in abject poverty while you enrich yourselves.'"
1079680176840105984_2_2_1,85,Immigration Reform Advocates,other,pander,they,"The verb 'pander' is used metaphorically to describe the action of supporting or promoting 'Open Borders,' transcending its literal meaning of supplying or catering to a demand. Here, 'pander' implies a deliberate and potentially exploitative support for a cause, which is a metaphorical extension of the verb's original connotation.",'Now they pander for Open Borders putting citizens&amp;legal immigrants at risk.'
1087339870165581826_1_13_15,85,United States,spatial motion,infiltrated,country,"The verb 'infiltrated' is used metaphorically to describe the spread of the cult's influence or control over the country's institutions, rather than a literal physical entry. The metaphorical aspect involves the idea of the cult's ideas or power 'seeping into' the country's systems, transcending the verb's literal meaning of physical penetration.","'US is overrun by illegal aliens; an uncivilized-eastern cult has infiltrated our country &amp; Gov, compliments of prior lying Dem leadership.'"
1067429009963675651_1_2_1,85,United States,spatial motion,got,America,"The verb 'got' is used metaphorically to personify 'America' as an active agent capable of acquiring wealth, transcending its literal meaning of physical acquisition. The metaphorical aspect lies in attributing the action of 'getting' (which implies active pursuit or possession) to a nation, suggesting it 'takes in' the best to become prosperous, rather than describing a direct physical action.",'So America got rich and prosperous by taking in only the best.'
1022568795481755653_0_4_5,86,Citizens,force,pains,me,"The verb 'pains' is used metaphorically to convey emotional distress rather than a physical action. The phrase 'it pains me to say it' is an idiomatic expression where 'pains' signifies emotional difficulty or discomfort, not literal physical pain. This usage transcends the verb's original meaning of causing physical suffering, personifying the emotional state of the target noun 'me'.","'As much as it pains me to say it,  a” photo ID “ is not enough.'"
1011231520869232640_0_2_4,86,Economic Impact,force,hurting,pocketbook,"The verb 'hurting' is used metaphorically to describe the financial impact on the 'pocketbook' (a metaphor for money or finances). The verb does not refer to a physical action or pain, instead conveying a non-literal, abstract harm to an inanimate object, which is a common metaphorical usage in financial contexts.",'It's hurting her pocketbook now.'
1011231520869232640_0_2_0,86,Economic Impact,force,hurting,It,"The verb 'hurting' is used metaphorically to describe the financial impact on 'her pocketbook.' While 'hurting' literally refers to causing physical pain, here it is applied to an abstract concept (financial loss), transcending its original meaning to convey harm in a non-physical context.",'It's hurting her pocketbook now.'
1106665406461345794_0_2_1,86,Humanitarian Concerns,other,aches,heart,"The verb 'aches' is used metaphorically to convey emotional pain rather than a physical sensation. While 'aches' literally describes physical pain, in this context, it characterizes the 'heart' as experiencing sorrow or anguish, which is an emotional state, not a physical action.","'My heart aches for the families of everyone murdered - by illegals, citizens, cops, family members, suicide victims.'"
1004003097608323072_1_6_13,86,Immigrants,force,hurting,kids,"The verb 'hurting' is used metaphorically to describe the media's actions towards 'kids,' implying a non-physical form of harm or negative impact. While 'hurting' typically denotes physical or emotional pain, here it is employed to signify the media's influence or effect on children, transcending its literal meaning.",'Does the media care more about hurting President Trump or finding missing immigrant kids?'
1004003097608323072_1_6_8,86,Political Figures,force,hurting,Trump,"The verb 'hurting' is used metaphorically to describe the media's action toward the target noun 'Trump.' Here, 'hurting' does not refer to physical harm but rather implies causing damage to Trump's reputation, political standing, or emotional impact, transcending its literal meaning of causing physical pain.",'Does the media care more about hurting President Trump or finding missing immigrant kids?'
1164183254070484993_3_3_5,86,United States,force,hurts,country,"The verb 'hurts' is used metaphorically to describe the negative impact of illegal immigration on the abstract concept of 'country.' It transcends its literal meaning of causing physical pain and instead conveys harm to the country's economy, society, or well-being, implying personification or conceptual harm without a direct physical action.",'Illegal immigration only hurts this country.'
1210755206385827842_1_12_14,86,United States,force,hurt,nation,"The verb 'hurt' is used metaphorically to describe a negative impact on the abstract entity 'nation,' transcending its literal meaning of causing physical pain. It implies a figurative harm or adverse effect rather than a physical action.",'Not voting for the Dem (no matter whom) will only hurt the nation.'
1112607416967942145_0_21_22,86,United States,force,hurt,us,"The verb 'hurt' is used metaphorically to describe non-physical harm, implying emotional or political damage rather than literal injury. It transcends its original meaning of causing physical pain to characterize the target noun 'us' as being negatively impacted by Mexico's actions.",'Mexico was never a good friend of the USA they always  looked upon us as white bad people and try to hurt us and take advantage of us and never help us .the democrats are in alliance with them to do the same bring more illegals for votes'
1083107669798539278_0_5_6,87,Other,force,face,facts,"The verb 'face' is used metaphorically to personify the abstract concept of 'facts' as something that can be confronted or addressed. Literally, 'face' refers to a physical action of turning toward something, but here it extends to a mental or emotional confrontation with reality, transcending its physical meaning.","'Mod, let's just face facts.'"
1083107669798539278_0_5_3,87,Other,force,face,'s,"The verb 'face' is used metaphorically here. Literally, 'face' refers to the physical front part of the body, but in the sentence, it is used to represent the conceptual act of confronting or dealing with facts. This extends the verb's meaning beyond its physical action to signify a psychological or abstract engagement with reality, which is a metaphorical usage.","'Mod, let's just face facts.'"
1169705557323911169_1_11_7,87,Other,force,face,meat,"The verb 'face' is used metaphorically to characterize the target noun 'meat' by implying that the meat is confronting or dealing with difficult conditions, which is a human-like action applied to an inanimate object. This transcends the literal meaning of 'face' (a physical action) and attributes a conceptual, personified experience to the meat.",'New  report details the difficult conditions all meat and poultry workers face:  #SlowDownTheLine'
1009863114915971072_1_2_0,87,Other,force,struggling,I,"The verb 'struggling' is used metaphorically to describe the mental effort and difficulty of comprehending the picture's point, rather than referring to a physical action. It conveys an abstract cognitive struggle, not a literal physical struggle.",'I'm struggling to understand the point of this picture... did you think this was brilliant?'
1064554045250007041_0_14_15,87,Other,force,anchor,babies,"The verb 'anchor' is used metaphorically to describe 'babies' as providing a foundational or stabilizing role in the context of citizenship rights. The phrase 'anchor babies' does not refer to a physical action of securing babies but instead implies that these children are being used as a means to secure legal status, transcending the literal meaning of the verb.","'14th Amendment was written for former slaves, NOT to grant citizenship rights to anchor babies of illegal aliens.'"
1058368357848748032_2_2_0,87,Other,force,testing,It,"The verb 'testing' is used metaphorically to characterize the target noun 'It' by implying that 'It' is exerting a challenging or assessing action on 'our resolve,' which transcends its literal meaning of a physical or tangible act of testing.",'It’s testing our resolve.'
1118029199556497413_0_10_12,87,Other,force,tax,crap,"The verb 'tax' is used metaphorically to describe an extreme form of burdening or oppressing 'crap' (a slang term for worthless things), rather than referring to a literal financial tax. The phrase 'tax the crap out of' functions as an idiom conveying hyperbolic overburdening, not a physical action.",'“Green New Deal”  will do 1Thing only tax the crap out of every tax payer..'
1210755206385827842_0_20_22,87,Other,force,fight,warming,"The verb 'fight' is used metaphorically to describe the effort to combat global warming, which is an abstract concept rather than a physical entity. The verb transcends its literal meaning of physical combat by implying a struggle against an impersonal phenomenon, thereby personifying the target noun 'warming' as an opponent.","'Everyone left-of-center should vote for the Democratic candidate whoever it is because: we need to fight global warming, &amp; to defend abortion rights, voting rights, civil rights, LGBTQ rights, &amp; immigrant rights.'"
1058128778377990145_1_2_0,87,Other,force,pushback,Sweden,"The verb 'pushback' is used metaphorically to describe Sweden's non-physical resistance to an abstract concept (the onslaught of criminal immigrants). The verb does not refer to a literal physical action but instead conveys a policy or governmental response, personifying the country as an entity capable of resisting an external force.",'Sweden must pushback from this onslaught of criminal immigrants.'
1058128778377990145_0_6_4,87,Other,force,attacked,that,"The verb 'attacked' is used metaphorically to describe the target noun 'that'. Since 'that' is a pronoun (not a tangible entity), the verb 'attacked' does not refer to a physical action. Instead, it implies a non-literal, abstract relationship, suggesting 'that' is subjected to some form of metaphorical harm or targeting, rather than a literal physical attack.",'Prayers for the lady that was attacked.'
1068508122174709760_2_1_0,87,Other,force,arrest,someone,"The verb 'arrest' is used metaphorically to describe the action of stopping or controlling the Mallard (a bird), which is not a literal detention of a person. The source verb 'arrest' transcends its original meaning of detaining a person and is applied to an animal, implying a metaphorical act of restraint or control, akin to personification.",'someone arrest that Mallard.'
1011297691454844930_4_2_0,87,Other,force,murdered,Natives,"The verb 'murdered' is used metaphorically to describe the violent treatment or destruction of the Natives as a group, transcending the literal meaning of the verb. While 'murdered' typically refers to the physical act of killing individuals, its application to 'Natives' here metaphorically conveys systemic violence or atrocities against a collective, rather than literal individual killings.",'Natives were murdered and shoved to little plots of land stupid!!'
1147989402418683905_1_18_16,87,Other,force,gouge,industries,"The verb 'gouge' is used metaphorically here to describe industries extracting excessive profits from consumers, rather than referring to a physical action of cutting or scraping. The metaphorical use extends the verb's original meaning of 'to extract unfairly' to characterize the industries' exploitative financial practices.",'Healthcare wouldn't be so costly if our govt wpuldn't allow Pharma &amp; healthcare industries to gouge us.'
1037097599008792576_2_6_7,87,Other,force,forced,schools,"The verb 'forced' is used metaphorically here. While 'forced' typically describes compelling a person or entity to act against their will, it is applied to 'schools' (an abstract institution) rather than a physical entity. This usage personifies schools, attributing a human action (compelling) to an inanimate or institutional target, transcending its literal physical action.",'The state of Texas has effectively forced schools to drop their programs:'
1154419284300488705_3_11_13,87,Other,force,putting,workers,"The verb 'putting' is used metaphorically to describe the prioritization or devaluation of 'workers' as a group, transcending its literal physical action. It conveys a non-physical action of ranking or positioning workers in a hierarchy, implying intentional neglect or subordination for greed and power, rather than describing a tangible act of placing objects.",'Big Tech (much like Corporate America in general) IS putting US workers last for greed &amp; power.'
1051582164398166018_2_3_5,87,Other,force,Horned,Foreigner,"The verb 'horned' is used metaphorically to describe the act of forcefully inserting a foreigner into a position (presidency), likening it to the physical action of using a shoe horn to push a shoe on. This transcends the literal meaning of 'horned' (having horns) and employs the verb to convey a non-physical, metaphorical action of coercion or forced inclusion.",'The Democrats Shoe Horned A Foreigner In As President BHO!'
1148313606603366403_3_10_2,87,Other,force,creates,lack,"The verb 'creates' is used metaphorically here. The target noun 'lack' is an abstract concept, and the verb 'creates' is applied to it to imply a causal relationship between the absence of funds and the resulting impact. This transcends the literal physical action of creating, instead attributing an active role to an abstract entity, which is a metaphorical use of the verb.","'Nevertheless, lack of fundings coupled with excessive immigration, creates big impact'"
981862057178947584_2_7_8,87,Other,force,pushes,abortions,"The verb 'pushes' is used metaphorically to characterize the action of advocating for or promoting abortions, rather than describing a physical act of pushing. It implies influence or support for a policy or action, transcending its literal meaning.",'#ThursdayThoughts Kimmel is same person who pushes abortions of #DownSyndromeBabies w /Obamacare!'
1095773751059275776_2_7_4,87,Other,force,stolen,numbers,"The verb 'stolen' is used metaphorically to describe the unauthorized acquisition of intangible data (social security numbers), transcending its literal meaning of physically taking a tangible object. The action refers to a violation of privacy/security rather than a physical act.",'39 million social security numbers have been stolen.'
1022568795481755653_1_4_3,87,Other,force,pains,it,"The verb 'pains' is used metaphorically to express emotional distress rather than physical pain. The target noun 'it' is personified as causing pain to the speaker, transcending the literal meaning of the verb which typically refers to physical discomfort.",'As much as it pains me.'
1032834358279843840_1_6_5,87,Other,force,let,murders,"The verb 'let' is used metaphorically in the idiom 'let alone', which functions as a rhetorical device to emphasize the contrast between tolerating 'murders' and 'illegals'. Here, 'let' does not describe a physical action but conveys a conceptual comparison, transcending its literal meaning of permitting an action.",'Why must we tolerate any murders let alone illegals?'
1123221477757804545_1_16_12,87,Other,force,struggling,vets,"The verb 'struggling' is used metaphorically to depict the difficult situation faced by 'vets' rather than describing a physical action. It conveys a state of hardship or adversity, transcending its literal meaning of physical struggle.","'The deficit will rise, American’s will be neglected, our vets and seniors still struggling.'"
1158395150185488385_0_17_18,87,Other,force,kill,it,"The verb 'kill' is used metaphorically to signify causing harm or destruction to the target noun 'it' (Trump’s plan), rather than describing a physical action. The phrase 'poison pill' frames 'kill' as a metaphor for undermining or eliminating the plan, which is not a living entity capable of literal death.",'Trump’s plan to tie gun control measures to immigration reform is a poison pill designed to kill it: ex-GOP lawmaker'
1100477350544842753_2_11_13,87,Other,force,take,life,"The verb 'take' is used metaphorically to characterize 'life' by implying the act of causing death. The phrase 'take the life of someone close to you' extends the source verb 'take' beyond its literal meaning of physically grasping or removing something, instead conveying the abstract concept of ending a life, which is a metaphorical use of the verb.",'Or a Illegal Immigrant protected by the traitor Sanctuary Cities to take the life of someone close to you!'
1024902453760806912_1_15_19,87,Other,force,destroyed,businesses,"The verb 'destroyed' is used metaphorically to characterize 'businesses.' It transcends its literal meaning of physical destruction, instead implying that Trump's actions (referred to as 'BS') caused significant harm or collapse to the businesses, likely through reputational damage, financial loss, or operational failure, rather than direct physical destruction.","'&amp; clearly your not in nyc or AC (northeast) area as Trump destroyed numerous family construction businesses with his BS, &amp; all know what an ass/fraud he is'"
1161755238585503745_0_3_2,87,Other,force,hurt,he,"The verb 'hurt' is used metaphorically to describe the action of causing emotional pain to 'Fredo's feelings' rather than a physical action. The source verb 'hurt' (typically associated with physical pain) is applied to an abstract target (emotions), transcending its literal meaning through personification or metaphorical extension.",'Other words he hurt Fredo's  the fake journalist feelings 21 times.'
1152028936605319169_0_3_0,87,Other,force,putting,You,"The verb 'putting' is used metaphorically to describe the act of attributing words to 'You' that were not actually spoken. It transcends its literal meaning of physical placement, instead conveying a figurative action of falsely assigning speech, which is a common metaphorical usage in idiomatic expressions.",'You're actually putting words in my mouth.'
1161755238585503745_0_9_8,87,Other,force,feelings,journalist,"The verb 'hurt' is used metaphorically to describe the emotional impact on 'feelings' (target noun), which is an abstract concept. The action of 'hurting' typically refers to physical or emotional pain, but here it's applied to 'feelings' to convey a metaphorical sense of causing distress or harm, rather than a literal physical action.",'Other words he hurt Fredo's  the fake journalist feelings 21 times.'
1165271187318087680_0_1_3,87,Other,force,held,vote,"'Held' is used metaphorically to describe the process of conducting a vote, where the verb transcends its physical meaning of gripping or supporting an object. The action of 'holding' a vote refers to organizing and facilitating the voting process, not a literal physical action.",'NYC held a vote to choose 7 New York City women to honor with statues.'
1165271187318087680_0_1_0,87,Other,force,held,NYC,"The verb 'held' is used metaphorically to describe NYC's role in organizing and conducting the vote, transcending its literal meaning of physically holding an object. The city cannot physically 'hold' a vote, so the verb represents the conceptual action of facilitating the voting process.",'NYC held a vote to choose 7 New York City women to honor with statues.'
1066011388890439681_1_12_18,87,Other,force,BULLIED,Govt,"The verb 'BULLIED' is used metaphorically to personify the abstract target noun 'Govt,' attributing human-like aggressive behavior to an inanimate entity. This transcends the literal physical action of bullying, instead conveying the idea of oppressive treatment by an impersonal authority.",'The US is a Sovereign Nation &amp; we will NOT be BULLIED by an UNELECTED Global World Govt.'
1067793571724562432_0_2_1,87,Other,force,made,party,"The verb 'made' is used metaphorically to personify the target noun 'party' as an active agent capable of causing an abstract action ('a mission'). This transcends its literal meaning of physical creation or action, instead attributing intentional agency to the party, which is a group of people, not a physical entity.",'Your party made it a mission to destroy a man and his family with false sexual assault accusations.'
